timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1760182717.6148984,1,560,0.0002,0.2116,0
1760182718.3087697,4,2322,0.0009,147.0016,0
1760182719.0354593,4,2354,0.0009,242.1946,0
1760182719.7460546,4,2323,0.0009,242.0509,0
1760182720.466645,4,2328,0.0009,247.0201,0
1760182721.103296,1,606,0.0002,157.0723,0
1760182722.217341,4,2315,0.0009,73.6057,0
1760182722.9335616,4,2312,0.0009,242.9423,0
1760182723.6825264,4,2344,0.0009,236.3266,0
1760182724.4230866,5,2926,0.0011,247.1107,0
1760182725.0692847,1,611,0.0002,179.5119,0
1760182726.1480222,3,1732,0.0007,65.8178,0
1760182726.8901374,4,2299,0.0009,231.7703,0
1760182727.6274126,5,2891,0.0011,240.0737,0
1760182728.3353562,4,2305,0.0009,251.4329,0
1760182729.0172117,1,598,0.0002,193.5898,0
1760182730.0747325,3,1727,0.0007,57.6821,0
1760182730.7706084,4,2365,0.0009,228.4895,0
1760182731.5022902,4,2329,0.0009,239.1755,0
1760182732.2474425,5,2913,0.0011,241.5618,0
1760182732.9349072,2,1193,0.0005,213.8296,0
1760182733.96091,2,1162,0.0004,53.6061,0
1760182734.7003047,4,2309,0.0009,206.9264,0
1760182735.4271026,5,2914,0.0011,242.1585,0
1760182736.1484923,4,2339,0.0009,248.1326,0
1760182736.8565958,3,1762,0.0007,225.9562,0
1760182737.8995764,2,1104,0.0004,55.6099,0
1760182738.6156456,4,2323,0.0009,192.7191,0
1760182739.3487833,4,2315,0.0009,244.1563,0
1760182740.0839846,5,2965,0.0011,242.1109,0
1760182740.7770114,3,1782,0.0007,240.9723,0
1760182741.8111198,1,569,0.0002,60.9221,0
1760182742.538271,4,2287,0.0009,174.6544,0
1760182743.2729702,5,2889,0.0011,240.9152,0
1760182743.9940934,4,2318,0.0009,246.8376,0
1760182744.711346,3,1760,0.0007,243.9871,0
1760182745.7508955,1,564,0.0002,70.2228,0
1760182746.4706495,5,2903,0.0011,154.2196,0
1760182747.1998563,4,2329,0.0009,245.4725,0
1760182747.9327576,4,2284,0.0009,246.9641,0
1760182748.649821,4,2346,0.0009,239.8678,0
1760182749.6860178,1,554,0.0002,83.9610,0
1760182750.377425,4,2325,0.0009,135.9548,0
1760182751.1146967,5,2933,0.0011,238.7182,0
1760182751.835599,4,2327,0.0009,245.5262,0
1760182752.5688114,4,2334,0.0009,245.4954,0
1760182753.217008,1,603,0.0002,158.9027,0
1760182754.3179345,4,2315,0.0009,71.7578,0
1760182755.0475407,4,2342,0.0009,238.4852,0
1760182755.779879,4,2324,0.0009,249.8849,0
1760182756.5107768,5,2944,0.0011,238.0637,0
1760182757.17408,1,615,0.0002,180.9131,0
1760182758.233607,3,1717,0.0007,63.2358,0
1760182758.9677484,5,2949,0.0011,230.2013,0
1760182759.6794631,4,2343,0.0009,247.2905,0
1760182760.4058213,4,2326,0.0009,243.6818,0
1760182761.1013782,2,1190,0.0005,196.9648,0
1760182762.14508,3,1704,0.0007,55.5715,0
1760182762.8609922,4,2327,0.0009,222.0947,0
1760182763.592871,4,2334,0.0009,245.9427,0
1760182764.3023546,4,2366,0.0009,243.8397,0
1760182765.0058067,2,1166,0.0004,217.4994,0
1760182766.0413752,2,1147,0.0004,54.0766,0
1760182766.7635233,5,2926,0.0011,200.7901,0
1760182767.4771156,4,2338,0.0009,245.2384,0
1760182768.2084363,4,2318,0.0009,246.1305,0
1760182768.915584,3,1774,0.0007,230.5039,0
1760182769.956557,2,1128,0.0004,57.6384,0
1760182770.6748273,4,2312,0.0009,183.7752,0
1760182771.4195075,5,2931,0.0011,240.3721,0
1760182772.1557112,5,2928,0.0011,244.4979,0
1760182772.8773644,3,1789,0.0007,239.7276,0
1760182773.9109864,1,561,0.0002,64.8207,0
1760182774.641023,4,2331,0.0009,169.8547,0
1760182775.3688002,5,2905,0.0011,241.8325,0
1760182776.0983741,4,2339,0.0009,248.0903,0
1760182776.8284178,4,2358,0.0009,238.3424,0
1760182777.8653574,1,552,0.0002,73.2927,0
1760182778.6005332,5,2898,0.0011,155.0651,0
