timestamp,gpu_index,gpu_name,mem_total_MiB,mem_used_MiB,mem_free_MiB,util_gpu_pct,util_mem_pct
2025/10/13 22:11:38.025,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,0,0
2025/10/13 22:11:39.049,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,22,5
2025/10/13 22:11:40.072,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,22,5
2025/10/13 22:11:41.095,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,20,5
2025/10/13 22:11:42.119,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,6,1
2025/10/13 22:11:43.142,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,23,5
2025/10/13 22:11:44.165,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,23,5
2025/10/13 22:11:45.190,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,21,5
2025/10/13 22:11:46.213,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,6,1
2025/10/13 22:11:47.236,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,23,5
2025/10/13 22:11:48.260,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,23,5
2025/10/13 22:11:49.283,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,21,5
2025/10/13 22:11:50.307,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,7,1
2025/10/13 22:11:51.331,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,22,5
2025/10/13 22:11:52.354,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,22,5
2025/10/13 22:11:53.377,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,20,5
2025/10/13 22:11:54.400,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,21,5
2025/10/13 22:11:55.423,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,23,5
2025/10/13 22:11:56.447,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,22,5
2025/10/13 22:11:57.470,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,20,5
2025/10/13 22:11:58.493,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,21,5
2025/10/13 22:11:59.517,0,NVIDIA A100-SXM4-40GB,40960,33990,6348,23,5
2025/10/13 22:12:00.540,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:01.564,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,20,5
2025/10/13 22:12:02.588,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:03.611,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:04.635,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:05.658,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,20,5
2025/10/13 22:12:06.682,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:07.705,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:08.729,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:09.753,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,20,5
2025/10/13 22:12:10.776,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:11.799,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:12.822,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:13.845,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,15,4
2025/10/13 22:12:14.868,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:15.891,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:16.914,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:17.937,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,12,3
2025/10/13 22:12:18.961,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:19.986,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:21.009,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:22.032,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,13,4
2025/10/13 22:12:23.055,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:24.079,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:25.102,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:26.126,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,0,0
2025/10/13 22:12:27.148,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:28.172,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:29.195,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:30.219,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,0,0
2025/10/13 22:12:31.242,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:32.266,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:33.289,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:34.313,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,0,0
2025/10/13 22:12:35.336,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:36.359,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:37.383,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,21,5
2025/10/13 22:12:38.406,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,15,4
2025/10/13 22:12:39.429,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:40.453,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,22,5
2025/10/13 22:12:41.477,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,21,5
2025/10/13 22:12:42.500,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,16,4
2025/10/13 22:12:43.525,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:44.548,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:45.571,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,21,5
2025/10/13 22:12:46.595,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,17,4
2025/10/13 22:12:47.618,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:48.641,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,23,5
2025/10/13 22:12:49.664,0,NVIDIA A100-SXM4-40GB,40960,33992,6346,20,5
