timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1761022987.0734048,5,2845,0.0064,1.1481,0
1761022988.143136,6,3407,0.0077,228.0952,0
1761022989.2052524,6,3474,0.0078,246.6779,0
1761022989.9893181,1,595,0.0013,176.0061,0
1761022991.2039666,5,2865,0.0064,92.2079,0
1761022992.2942019,7,4036,0.0091,232.0604,0
1761022993.3235228,6,3516,0.0079,251.6226,0
1761022994.3179712,1,552,0.0012,116.6478,0
1761022995.3651733,6,3461,0.0078,132.7349,0
1761022996.4169214,6,3465,0.0078,242.4539,0
1761022997.416778,5,2918,0.0066,253.0367,0
1761022998.5190508,2,1118,0.0025,86.1858,0
1761022999.596373,6,3446,0.0078,165.2247,0
1761023000.6580412,6,3496,0.0079,248.6657,0
1761023001.6187282,4,2329,0.0052,241.4942,0
1761023002.6552303,2,1118,0.0025,72.3589,0
1761023003.7497804,7,4027,0.0091,177.2423,0
1761023004.8214061,7,4044,0.0091,247.2882,0
1761023005.698981,3,1770,0.0040,248.4122,0
1761023006.8143003,3,1709,0.0038,65.4522,0
1761023007.8344882,6,3441,0.0077,204.8648,0
1761023008.94826,7,4029,0.0091,230.7477,0
1761023009.796615,3,1761,0.0040,241.6446,0
1761023010.8833103,3,1706,0.0038,67.1762,0
1761023012.0113776,7,4029,0.0091,200.3441,0
1761023013.0332403,6,3419,0.0077,255.4162,0
1761023013.9036217,2,1172,0.0026,209.1041,0
1761023015.0068157,4,2214,0.0050,67.9845,0
1761023016.0416203,6,3418,0.0077,223.2309,0
1761023017.0416834,6,3444,0.0078,246.9850,0
1761023017.8652463,2,1193,0.0027,219.7773,0
1761023019.0383112,4,2268,0.0051,67.3451,0
1761023020.044183,6,3468,0.0078,223.6869,0
1761023021.0682504,6,3466,0.0078,240.2190,0
1761023021.873991,2,1185,0.0027,232.0850,0
1761023023.0688808,4,2274,0.0051,67.7888,0
1761023024.0769515,6,3470,0.0078,226.1750,0
1761023025.1053298,6,3452,0.0078,239.2120,0
1761023025.9034386,2,1191,0.0027,226.7866,0
1761023027.0920343,4,2254,0.0051,67.3064,0
1761023028.0828109,6,3435,0.0077,229.1135,0
1761023029.1245646,6,3406,0.0077,239.0204,0
1761023029.935019,2,1160,0.0026,220.8645,0
1761023031.092942,4,2267,0.0051,66.4985,0
1761023032.124061,6,3436,0.0077,219.1796,0
1761023033.15453,6,3448,0.0078,250.3720,0
1761023033.9990628,2,1167,0.0026,208.3997,0
1761023035.132687,4,2280,0.0051,72.3345,0
1761023036.175821,6,3479,0.0078,219.5311,0
1761023037.2179222,6,3511,0.0079,245.6579,0
1761023038.0654454,2,1200,0.0027,201.7648,0
1761023039.188664,4,2287,0.0051,77.4561,0
1761023040.2979913,7,4025,0.0091,215.4462,0
1761023041.3319407,6,3386,0.0076,250.4962,0
1761023042.1115282,1,582,0.0013,198.8234,0
1761023043.3008533,5,2817,0.0063,77.3550,0
1761023044.352428,6,3421,0.0077,232.0332,0
1761023045.4173994,6,3463,0.0078,239.4434,0
1761023046.2037592,1,603,0.0014,186.9377,0
1761023047.3919954,5,2837,0.0064,87.5248,0
1761023048.3972902,6,3412,0.0077,241.7205,0
1761023049.414042,6,3445,0.0078,242.9308,0
1761023050.2018468,1,598,0.0013,177.7094,0
1761023051.4056401,5,2818,0.0063,85.5630,0
1761023052.4179149,6,3404,0.0077,241.0416,0
1761023053.440439,6,3423,0.0077,245.4715,0
1761023054.2081823,1,588,0.0013,179.7480,0
1761023055.438914,5,2841,0.0064,86.9403,0
1761023056.5759847,7,4021,0.0090,221.6226,0
1761023057.5856128,5,2899,0.0065,264.4543,0
1761023058.6048117,1,538,0.0012,112.8339,0
1761023059.6505065,6,3419,0.0077,132.9263,0
1761023060.7890234,7,4014,0.0090,231.0026,0
1761023061.7641878,4,2300,0.0052,260.4692,0
1761023062.793519,2,1102,0.0025,84.5211,0
1761023063.8383467,6,3421,0.0077,163.6636,0
1761023064.889584,6,3455,0.0078,242.5716,0
1761023065.8326552,4,2337,0.0053,253.4277,0
1761023066.9128106,2,1094,0.0025,73.1378,0
1761023068.0051818,7,3961,0.0089,177.5956,0
1761023069.0411956,7,4004,0.0090,246.1360,0
1761023069.8970492,3,1753,0.0039,258.2225,0
1761023071.0367775,3,1693,0.0038,64.0505,0
1761023072.0549898,6,3400,0.0077,199.3693,0
1761023073.080873,6,3439,0.0077,243.6929,0
1761023073.9335444,3,1768,0.0040,248.6307,0
1761023075.0476336,3,1672,0.0038,63.7293,0
1761023076.069552,6,3461,0.0078,197.6678,0
1761023077.0664258,6,3449,0.0078,244.7655,0
1761023078.0068922,3,1748,0.0039,230.7370,0
1761023079.1041512,3,1708,0.0038,69.2638,0
1761023080.156364,6,3482,0.0078,202.4308,0
1761023081.1721125,6,3476,0.0078,249.0779,0
1761023082.0530238,3,1760,0.0040,231.5788,0
1761023083.176017,3,1710,0.0038,65.8954,0
1761023084.2019224,6,3438,0.0077,210.5461,0
1761023085.2197733,6,3444,0.0078,246.5984,0
1761023086.1010144,3,1760,0.0040,225.8183,0
1761023087.2059667,3,1696,0.0038,63.3513,0
1761023088.2269735,6,3472,0.0078,214.4945,0
1761023089.2999883,7,4043,0.0091,233.9208,0
1761023090.13693,2,1176,0.0026,236.5760,0
1761023091.224999,3,1701,0.0038,64.3343,0
1761023092.231966,6,3423,0.0077,212.5196,0
1761023093.2465684,6,3468,0.0078,243.4456,0
1761023094.1303668,3,1776,0.0040,226.2964,0
1761023095.2397838,3,1708,0.0038,65.8004,0
1761023096.2603986,6,3440,0.0077,211.6375,0
1761023097.3321753,7,4019,0.0090,236.9901,0
1761023098.1672676,2,1170,0.0026,235.9025,0
1761023099.2699845,3,1705,0.0038,67.1070,0
1761023100.2635107,5,2886,0.0065,217.4077,0
1761023101.3420196,7,4007,0.0090,226.2386,0
1761023102.1729977,3,1767,0.0040,239.4774,0
1761023103.2768078,3,1705,0.0038,64.3227,0
1761023104.3514154,7,4032,0.0091,204.7263,0
1761023105.402273,6,3434,0.0077,243.6109,0
1761023106.2308502,2,1180,0.0027,232.9298,0
1761023107.3806012,4,2237,0.0050,64.3618,0
1761023108.392841,6,3400,0.0077,217.3401,0
1761023109.4314365,6,3441,0.0077,245.5243,0
1761023110.2560384,2,1175,0.0026,227.9891,0
1761023111.4187653,4,2274,0.0051,64.5037,0
1761023112.4725509,6,3394,0.0076,217.3121,0
1761023113.5022564,6,3451,0.0078,251.5286,0
1761023114.3238282,2,1184,0.0027,214.2238,0
1761023115.4788134,4,2258,0.0051,70.9967,0
1761023116.5104215,6,3435,0.0077,221.9841,0
1761023117.532753,6,3433,0.0077,248.4521,0
1761023118.364658,2,1191,0.0027,206.7549,0
1761023119.5181015,4,2271,0.0051,71.0916,0
1761023120.5315566,6,3441,0.0077,229.9071,0
1761023121.6253202,7,4029,0.0091,233.1402,0
1761023122.4012334,1,599,0.0013,217.8083,0
1761023123.574881,4,2270,0.0051,74.1280,0
1761023124.6555555,7,4028,0.0091,223.0093,0
1761023125.6787016,6,3407,0.0077,247.2768,0
1761023126.4429798,1,594,0.0013,204.1147,0
1761023127.6955044,5,2804,0.0063,75.8469,0
1761023128.7223475,6,3444,0.0078,240.5434,0
1761023129.7574492,6,3430,0.0077,243.4549,0
1761023130.5447354,1,591,0.0013,181.6369,0
1761023131.7304122,5,2831,0.0064,87.7137,0
1761023132.7572968,6,3421,0.0077,233.7171,0
1761023133.830877,6,3444,0.0078,238.4548,0
1761023134.593595,1,593,0.0013,179.6211,0
1761023135.8024926,5,2863,0.0064,92.6465,0
1761023136.8172994,6,3471,0.0078,245.3671,0
1761023137.8533442,6,3491,0.0079,242.2678,0
1761023138.668051,0,0,0.0000,153.4297,0
1761023139.8451405,5,2851,0.0064,103.6456,0
1761023140.9184325,6,3420,0.0077,228.2699,0
1761023141.8852148,5,2880,0.0065,260.6590,0
1761023142.9109206,1,560,0.0013,114.0679,0
1761023143.8533099,5,2859,0.0064,127.3361,0
1761023144.9266052,7,3979,0.0090,227.3375,0
1761023145.8958004,5,2906,0.0065,257.9465,0
1761023146.6806583,0,0,0.0000,152.8941,0
1761023147.8522465,5,2866,0.0065,99.0110,0
1761023148.941684,7,4008,0.0090,225.8051,0
1761023149.902171,6,3512,0.0079,260.2851,0
1761023150.6882896,1,608,0.0014,155.1932,0
1761023151.829749,5,2819,0.0063,96.3680,0
1761023152.86981,6,3483,0.0078,232.6789,0
1761023153.9232893,6,3447,0.0078,239.2079,0
1761023154.6954274,1,607,0.0014,169.6591,0
1761023155.872572,5,2848,0.0064,93.4466,0
1761023156.8983657,6,3407,0.0077,236.8902,0
1761023157.9357204,6,3467,0.0078,246.7818,0
1761023158.6943,0,0,0.0000,167.4186,0
1761023159.916158,5,2861,0.0064,94.9375,0
1761023161.008245,7,4044,0.0091,228.0044,0
1761023161.987179,6,3491,0.0079,259.4663,0
1761023163.0179799,1,550,0.0012,114.4742,0
1761023164.0519981,6,3423,0.0077,129.5917,0
1761023165.0990298,6,3374,0.0076,239.7259,0
1761023166.0817022,5,2876,0.0065,256.4441,0
1761023167.122447,1,567,0.0013,98.0069,0
1761023168.1195073,6,3468,0.0078,149.4396,0
1761023169.247266,7,4037,0.0091,226.9993,0
1761023170.1862617,4,2297,0.0052,264.1124,0
1761023171.2331834,2,1097,0.0025,82.1457,0
1761023172.2684102,6,3405,0.0077,161.3175,0
1761023173.300266,6,3475,0.0078,246.1588,0
1761023174.2045135,4,2361,0.0053,257.6733,0
1761023175.2805662,2,1127,0.0025,78.0632,0
1761023176.312645,6,3421,0.0077,164.7164,0
1761023177.3523395,6,3451,0.0078,247.1884,0
1761023178.3157504,4,2324,0.0052,240.8116,0
1761023179.3484337,2,1104,0.0025,78.4366,0
1761023180.3831773,6,3425,0.0077,176.8557,0
1761023181.401368,6,3423,0.0077,247.4983,0
1761023182.3231993,4,2332,0.0052,245.1646,0
1761023183.3724437,2,1128,0.0025,71.4802,0
1761023184.4254863,6,3468,0.0078,177.5809,0
1761023185.4274218,6,3486,0.0078,254.5077,0
1761023186.3651602,4,2320,0.0052,235.6738,0
1761023187.4218192,2,1130,0.0025,70.9786,0
1761023188.5207748,7,3980,0.0090,174.7116,0
1761023189.5620322,7,3976,0.0089,248.7382,0
1761023190.4314122,3,1719,0.0039,254.2046,0
1761023191.5828166,3,1676,0.0038,64.2694,0
1761023192.595545,6,3388,0.0076,203.4112,0
1761023193.620498,6,3447,0.0078,242.9384,0
1761023194.4993083,3,1799,0.0040,240.0978,0
1761023195.599904,3,1659,0.0037,65.4192,0
1761023196.6116145,6,3411,0.0077,202.6274,0
1761023197.640581,6,3448,0.0078,241.9908,0
1761023198.5362961,3,1784,0.0040,235.5664,0
1761023199.6334512,3,1672,0.0038,65.6244,0
1761023200.6485345,6,3439,0.0077,205.8948,0
1761023201.695181,6,3427,0.0077,241.7249,0
1761023202.5946882,3,1727,0.0039,229.0147,0
1761023203.6973176,3,1701,0.0038,67.1124,0
1761023204.715992,6,3457,0.0078,213.0222,0
1761023205.8114758,7,4036,0.0091,231.8614,0
1761023206.6598318,2,1165,0.0026,232.2146,0
1761023207.7964091,4,2260,0.0051,64.2280,0
1761023208.82465,6,3421,0.0077,216.8755,0
1761023209.8708546,6,3400,0.0077,242.7830,0
1761023210.7115467,2,1149,0.0026,224.8153,0
1761023211.8483167,4,2242,0.0050,65.9765,0
1761023212.8803904,6,3433,0.0077,222.8526,0
1761023213.9639328,6,3469,0.0078,236.2626,0
1761023214.7943456,2,1189,0.0027,219.1685,0
1761023215.9655354,4,2299,0.0052,73.4297,0
1761023217.0478408,7,4047,0.0091,221.7492,0
1761023218.1043386,7,4046,0.0091,247.0430,0
1761023218.870321,1,598,0.0013,199.7438,0
1761023220.1152835,5,2843,0.0064,82.7335,0
1761023221.1282158,6,3443,0.0077,239.8980,0
1761023222.1894872,6,3434,0.0077,241.2205,0
1761023222.9760625,1,592,0.0013,172.9017,0
1761023224.1440475,5,2866,0.0065,95.0355,0
1761023225.1977127,6,3467,0.0078,230.6239,0
1761023226.2284148,6,3449,0.0078,252.2556,0
1761023227.0342894,0,0,0.0000,152.6295,0
1761023228.2870543,6,3424,0.0077,94.1918,0
1761023229.3379705,7,4027,0.0091,247.4037,0
1761023230.3052633,5,2920,0.0066,259.4877,0
1761023231.325481,1,564,0.0013,106.8401,0
1761023232.3896086,6,3484,0.0078,129.6839,0
1761023233.414223,6,3446,0.0078,255.7063,0
1761023234.38874,5,2934,0.0066,248.3286,0
1761023235.4023905,1,554,0.0012,94.7074,0
1761023236.4516714,6,3449,0.0078,145.8143,0
1761023237.52171,7,4039,0.0091,241.1131,0
1761023238.4285426,4,2332,0.0052,261.3496,0
1761023239.4462101,1,551,0.0012,86.4724,0
1761023240.548235,7,4005,0.0090,147.9098,0
1761023241.572967,6,3430,0.0077,249.8217,0
1761023242.5003848,4,2326,0.0052,255.5489,0
1761023243.5799022,2,1125,0.0025,77.8128,0
1761023244.6029797,6,3410,0.0077,170.0756,0
1761023245.619503,6,3433,0.0077,246.9205,0
1761023246.5426235,4,2331,0.0052,249.1554,0
1761023247.6047757,2,1110,0.0025,77.2018,0
1761023248.6173446,6,3423,0.0077,170.8528,0
1761023249.660375,6,3449,0.0078,237.7691,0
1761023250.584884,4,2336,0.0053,257.4344,0
1761023251.6598957,2,1104,0.0025,73.4877,0
1761023252.6834931,6,3413,0.0077,180.7353,0
1761023253.715346,6,3461,0.0078,242.2828,0
1761023254.6739886,4,2349,0.0053,238.8799,0
1761023255.7221794,2,1131,0.0025,72.5060,0
1761023256.716696,6,3464,0.0078,189.0369,0
1761023257.734991,6,3394,0.0076,242.5627,0
1761023258.6792917,4,2324,0.0052,238.2719,0
1761023259.7300892,2,1105,0.0025,71.3744,0
1761023260.7472918,6,3458,0.0078,184.8208,0
1761023261.8442583,7,4000,0.0090,233.3711,0
1761023262.7363296,3,1735,0.0039,252.2225,0
1761023263.841274,3,1652,0.0037,65.1617,0
1761023264.8790946,6,3430,0.0077,192.7119,0
1761023265.935864,6,3418,0.0077,244.1408,0
1761023266.8094902,3,1769,0.0040,246.1010,0
1761023267.9073467,3,1688,0.0038,64.6716,0
1761023268.9450932,6,3483,0.0078,202.3619,0
1761023270.0783234,7,4017,0.0090,231.1978,0
1761023270.8940957,2,1149,0.0026,250.0702,0
1761023272.0837867,4,2264,0.0051,63.8822,0
1761023273.1320004,6,3419,0.0077,218.4673,0
1761023274.1807446,6,3449,0.0078,247.9160,0
1761023274.9776497,2,1195,0.0027,224.6195,0
1761023276.1875415,4,2285,0.0051,71.9073,0
1761023277.3022764,7,4041,0.0091,212.6070,0
1761023278.3320038,7,4004,0.0090,255.4077,0
1761023279.0811594,1,589,0.0013,206.9000,0
1761023280.3187315,5,2825,0.0064,76.7634,0
1761023281.393188,6,3438,0.0077,232.6761,0
1761023282.4160008,6,3477,0.0078,255.1791,0
1761023283.1565776,1,608,0.0014,179.5902,0
1761023284.4561298,5,2898,0.0065,87.7227,0
1761023285.5628905,7,3980,0.0090,238.5343,0
1761023286.5134454,5,2887,0.0065,261.9527,0
1761023287.538197,1,552,0.0012,109.2949,0
1761023288.5933099,6,3438,0.0077,123.2098,0
1761023289.6194947,6,3450,0.0078,253.3665,0
1761023292.2472425,14,25483,0.0574,109.5996,0
1761023293.3697634,15,26341,0.0593,516.6951,0
1761023294.405953,11,24192,0.0544,456.4809,0
1761023297.0649438,19,46732,0.1052,276.4209,0
1761023298.2092834,17,45950,0.1034,621.3202,0
1761023300.91287,24,68073,0.1532,331.0419,0
1761023302.2147906,23,68077,0.1532,732.7645,0
1761023305.0769885,31,91031,0.2049,395.8498,0
1761023306.4413815,28,90129,0.2029,869.2519,0
1761023309.4571078,37,113885,0.2563,467.5494,0
1761023312.490318,42,135284,0.3045,480.3495,0
1761023314.104483,43,137162,0.3087,1046.3632,0
1761023317.3361845,48,158786,0.3574,561.9334,0
1761023320.5684764,53,180354,0.4059,598.9562,0
1761023322.3865361,51,180904,0.4072,1174.8809,0
1761023325.9194822,60,205331,0.4621,656.3931,0
1761023329.537122,65,227492,0.5120,695.7580,0
1761023333.2528057,70,250025,0.5627,731.7634,0
1761023337.2353203,77,273874,0.6164,741.9941,0
1761023341.2769833,83,297311,0.6691,791.7537,0
1761023345.4886868,89,320988,0.7224,819.1466,0
1761023349.8660717,95,344810,0.7761,847.7671,0
1761023354.3589933,100,368304,0.8289,886.7286,0
1761023360.6334133,114,414709,0.9334,683.4101,0
1761023363.6367922,107,414446,0.9328,1495.9828,4
1761023367.1339643,106,420975,0.9475,1215.8404,6
1761023369.9580112,99,420614,0.9467,1462.0876,13
1761023372.5298128,95,422087,0.9500,1535.5004,23
1761023375.1098638,93,424523,0.9555,1446.0967,34
1761023377.5924015,91,426999,0.9610,1479.5360,47
1761023380.108876,91,430639,0.9692,1446.4688,59
1761023382.6656246,91,434279,0.9774,1423.6850,72
1761023385.2269058,91,437919,0.9856,1421.1651,85
1761023387.8246381,91,441559,0.9938,1401.2234,97
1761023390.4807606,90,440667,0.9918,1367.0317,112
1761023393.1160486,90,444267,0.9999,1366.0762,125
1761023395.7369685,89,443177,0.9974,1358.6844,139
1761023398.4486697,88,442028,0.9949,1302.8729,153
1761023401.163867,87,440871,0.9923,1291.2516,168
1761023403.8600492,86,439639,0.9895,1290.7153,182
1761023406.589688,86,443079,0.9972,1260.2414,196
1761023409.364746,85,441749,0.9942,1230.6060,210
1761023412.1085637,84,440223,0.9908,1235.8705,225
1761023414.876785,84,443583,0.9984,1213.7766,239
1761023417.6991496,83,441981,0.9948,1179.5090,254
1761023420.5092366,82,440335,0.9910,1177.5448,269
1761023423.3452291,82,443615,0.9984,1156.5623,283
1761023426.1751332,81,441860,0.9945,1148.0967,298
1761023429.0576835,80,440030,0.9904,1120.8835,313
1761023431.918693,80,443230,0.9976,1118.4870,328
1761023434.7626004,79,441174,0.9929,1116.0712,343
1761023437.6255624,78,439088,0.9882,1103.7528,358
1761023440.4940422,78,442208,0.9953,1087.6852,372
1761023443.385135,77,440003,0.9903,1074.6812,387
1761023446.3182423,77,443083,0.9972,1050.0817,402
1761023449.2632697,76,440795,0.9921,1037.6831,418
1761023452.2545187,76,443835,0.9989,1016.2987,432
1761023455.2079997,75,441439,0.9935,1018.1213,448
1761023458.2045612,74,438834,0.9877,1000.8146,464
1761023461.187904,74,441794,0.9943,992.1765,479
1761023464.1655128,73,439079,0.9882,992.4080,495
1761023467.1635566,73,441999,0.9948,973.9694,510
1761023470.3017569,72,439182,0.9885,927.9212,526
1761023473.4338138,72,442062,0.9949,919.5245,542
1761023476.5316086,71,439134,0.9883,927.1118,558
1761023479.6811564,71,441974,0.9947,901.7174,574
1761023482.7621255,70,438937,0.9879,919.5168,590
1761023485.8781831,70,441737,0.9942,898.5721,606
1761023489.0675123,70,439018,0.9881,877.9283,621
1761023492.2185023,70,441818,0.9944,888.6101,637
1761023495.417928,69,443987,0.9993,864.5311,653
1761023498.7966044,71,442345,0.9956,837.6066,668
1761023501.9727244,68,443291,0.9977,869.6153,683
1761023505.3782015,71,442051,0.9949,819.8564,697
1761023508.6318564,67,442439,0.9958,854.4244,713
1761023514.5746183,130,441816,0.9944,519.6240,675
1761023518.3029041,122,441981,0.9948,1365.5076,695
1761023523.9816923,121,443410,0.9980,870.4325,667
1761023532.291215,173,443231,0.9976,820.7453,591
1761023540.5513434,169,442011,0.9948,834.3698,525
1761023550.8285809,226,443840,0.9989,815.7837,402
1761023561.4679801,221,442284,0.9954,829.4644,290
1761023570.831132,138,401033,0.9026,947.7580,274
1761023580.1565652,111,433521,0.9757,547.1061,271
1761023587.4746518,106,432126,0.9726,600.4304,272
1761023594.074919,86,426946,0.9609,573.9164,266
1761023597.5209749,79,429510,0.9667,932.0808,265
1761023602.5900002,81,426553,0.9600,634.8366,258
1761023607.8043706,83,424367,0.9551,625.1956,251
1761023610.792649,83,427687,0.9626,1111.0088,251
1761023615.8493752,85,424789,0.9561,670.3945,244
1761023620.7408884,87,421357,0.9483,705.7125,237
1761023625.8728268,89,420609,0.9467,685.5114,230
1761023630.718376,91,417283,0.9392,741.2993,223
1761023635.5754733,93,416004,0.9363,756.0105,216
1761023638.5249286,93,416779,0.9380,1261.2513,215
1761023641.1528568,93,420499,0.9464,1415.5657,215
1761023643.816512,93,424219,0.9548,1396.5784,215
1761023646.5429704,93,427939,0.9631,1364.4090,215
1761023649.266936,93,431659,0.9715,1365.6583,215
1761023652.0351555,93,435379,0.9799,1343.8254,215
1761023654.8189015,93,439099,0.9883,1336.3300,215
1761023657.6672254,93,442819,0.9966,1306.0326,215
1761023660.4941537,92,442085,0.9950,1307.7814,216
1761023663.3641648,91,441224,0.9930,1276.9999,217
1761023666.1900823,90,440301,0.9910,1285.9557,218
1761023669.1148887,90,443901,0.9991,1230.8514,218
1761023672.019639,89,442914,0.9969,1227.3010,219
1761023674.8949919,88,441848,0.9945,1229.7636,220
1761023677.821875,87,440784,0.9921,1198.8874,221
1761023680.77474,87,444264,0.9999,1178.5174,221
1761023683.7545445,86,442886,0.9968,1154.7748,222
1761023686.736341,85,441429,0.9935,1145.9546,223
1761023689.740719,84,439917,0.9901,1129.6857,224
1761023692.7221682,84,443277,0.9977,1126.9695,224
1761023695.7929413,83,441661,0.9940,1085.3951,225
1761023698.87258,82,439971,0.9902,1075.4516,226
1761023701.9566813,82,443251,0.9976,1063.5197,226
1761023704.9804347,81,441465,0.9936,1075.8166,227
1761023707.9942243,80,439627,0.9895,1073.7321,228
1761023711.0672066,80,442827,0.9967,1041.3342,228
1761023714.1850512,79,440717,0.9919,1019.6153,229
1761023717.309445,79,443877,0.9990,1011.3972,229
1761023720.420878,78,441726,0.9942,1004.6827,230
1761023723.5598304,77,439499,0.9892,992.0513,231
1761023726.7152157,77,442579,0.9961,976.1101,231
1761023729.8841226,76,440267,0.9909,966.5802,232
1761023733.0957367,76,443307,0.9977,946.5650,232
1761023736.3335497,75,440749,0.9920,930.8764,233
1761023739.5835757,75,443749,0.9987,923.0703,233
1761023742.8263204,74,441087,0.9927,915.2748,234
1761023746.078039,74,444047,0.9994,910.2886,234
1761023749.2049026,73,441282,0.9932,935.1232,235
1761023752.3574493,73,444202,0.9998,926.2357,235
1761023755.520233,72,441319,0.9933,911.2232,236
1761023758.698024,72,444199,0.9997,906.2906,236
1761023761.8906288,71,441201,0.9930,890.1829,237
1761023765.1008217,71,444041,0.9994,884.6824,237
1761023768.3768466,70,440927,0.9924,855.9159,238
1761023771.7036982,70,443727,0.9987,841.6374,238
1761023775.245082,69,440495,0.9914,781.8983,239
1761023778.7169,69,443255,0.9976,794.9730,239
1761023782.1971595,68,439831,0.9899,786.1489,240
1761023785.7410228,67,435514,0.9802,766.9601,240
1761023789.5609975,67,435238,0.9796,701.5759,239
1761023793.441944,67,434931,0.9789,690.5536,238
1761023797.904116,68,435703,0.9806,607.1038,235
1761023801.6273727,68,435439,0.9800,730.5439,234
1761023806.0454438,68,429017,0.9656,617.0117,231
1761023810.4488764,70,438063,0.9859,635.6408,228
1761023813.875814,70,440863,0.9922,817.0565,228
1761023817.3063593,69,436491,0.9824,805.1205,228
1761023820.7398922,69,439251,0.9886,803.8375,228
1761023824.212279,69,442011,0.9948,794.8428,228
1761023827.7211773,68,440516,0.9915,784.8624,229
1761023831.182144,68,443236,0.9976,785.9081,229
1761023834.7191858,67,441566,0.9938,762.2197,230
1761023846.111181,75,431067,0.9702,241.3976,205
1761023851.6203332,77,424012,0.9543,554.3505,197
1761023859.1083734,82,425598,0.9579,435.3610,183
1761023865.6223404,86,423047,0.9521,509.6742,171
1761023868.737207,86,423399,0.9529,1104.3820,170
1761023874.31016,89,423084,0.9522,633.4167,161
1761023879.1533346,91,419751,0.9447,739.5979,154
1761023881.9577715,91,423391,0.9529,1297.9447,154
1761023886.705037,92,420226,0.9458,774.3410,148
1761023889.3870666,92,423906,0.9541,1372.0970,148
1761023892.0872872,92,427586,0.9624,1362.8527,148
1761023894.846861,92,431266,0.9706,1333.5405,148
1761023897.626613,92,434946,0.9789,1323.8602,148
1761023900.414345,92,438626,0.9872,1320.0706,148
1761023903.2756543,92,442306,0.9955,1286.1256,148
1761023906.1583364,91,441553,0.9938,1270.3459,149
1761023909.0146005,90,440766,0.9920,1271.2426,150
