timestamp,gpu_index,gpu_name,mem_total_MiB,mem_used_MiB,mem_free_MiB,util_gpu_pct,util_mem_pct
2025/10/21 05:03:06.196,0,NVIDIA A100-SXM4-80GB,81920,75599,5450,0,0
2025/10/21 05:03:07.219,0,NVIDIA A100-SXM4-80GB,81920,75677,5372,72,50
2025/10/21 05:03:08.243,0,NVIDIA A100-SXM4-80GB,81920,75681,5368,67,46
2025/10/21 05:03:09.266,0,NVIDIA A100-SXM4-80GB,81920,75683,5366,68,47
2025/10/21 05:03:10.290,0,NVIDIA A100-SXM4-80GB,81920,75683,5366,31,18
2025/10/21 05:03:11.314,0,NVIDIA A100-SXM4-80GB,81920,75683,5366,68,47
2025/10/21 05:03:12.338,0,NVIDIA A100-SXM4-80GB,81920,75685,5364,65,45
2025/10/21 05:03:13.362,0,NVIDIA A100-SXM4-80GB,81920,75689,5360,58,45
2025/10/21 05:03:14.386,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,38,24
2025/10/21 05:03:15.409,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,70,48
2025/10/21 05:03:16.435,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,65,44
2025/10/21 05:03:17.460,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,66,51
2025/10/21 05:03:18.484,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,41,26
2025/10/21 05:03:19.508,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,69,48
2025/10/21 05:03:20.533,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,67,46
2025/10/21 05:03:21.558,0,NVIDIA A100-SXM4-80GB,81920,75691,5358,59,46
2025/10/21 05:03:22.582,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,47,29
2025/10/21 05:03:23.606,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,69,47
2025/10/21 05:03:24.630,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,67,45
2025/10/21 05:03:25.655,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,64,50
2025/10/21 05:03:26.679,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,68,45
2025/10/21 05:03:27.701,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,68,47
2025/10/21 05:03:28.725,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,69,47
2025/10/21 05:03:29.748,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,58,46
2025/10/21 05:03:30.772,0,NVIDIA A100-SXM4-80GB,81920,75695,5354,67,47
2025/10/21 05:03:31.795,0,NVIDIA A100-SXM4-80GB,81920,75697,5352,63,43
2025/10/21 05:03:32.818,0,NVIDIA A100-SXM4-80GB,81920,75697,5352,69,48
2025/10/21 05:03:33.842,0,NVIDIA A100-SXM4-80GB,81920,75697,5352,59,47
2025/10/21 05:03:34.865,0,NVIDIA A100-SXM4-80GB,81920,75697,5352,68,46
2025/10/21 05:03:35.889,0,NVIDIA A100-SXM4-80GB,81920,75697,5352,68,47
2025/10/21 05:03:36.914,0,NVIDIA A100-SXM4-80GB,81920,75699,5350,71,47
2025/10/21 05:03:37.939,0,NVIDIA A100-SXM4-80GB,81920,75699,5350,64,51
2025/10/21 05:03:38.962,0,NVIDIA A100-SXM4-80GB,81920,75699,5350,71,49
2025/10/21 05:03:39.986,0,NVIDIA A100-SXM4-80GB,81920,75699,5350,69,48
2025/10/21 05:03:41.009,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,65,44
2025/10/21 05:03:42.033,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,63,51
2025/10/21 05:03:43.056,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,71,46
2025/10/21 05:03:44.080,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,72,47
2025/10/21 05:03:45.105,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,69,48
2025/10/21 05:03:46.128,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,62,50
2025/10/21 05:03:47.153,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,65,44
2025/10/21 05:03:48.177,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,74,51
2025/10/21 05:03:49.201,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,71,49
2025/10/21 05:03:50.225,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,58,47
2025/10/21 05:03:51.249,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,70,48
2025/10/21 05:03:52.273,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,66,45
2025/10/21 05:03:53.297,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,71,49
2025/10/21 05:03:54.320,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,36,30
2025/10/21 05:03:55.342,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,70,48
2025/10/21 05:03:56.365,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,68,46
2025/10/21 05:03:57.391,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,64,41
2025/10/21 05:03:58.416,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,30,24
2025/10/21 05:03:59.439,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,72,49
2025/10/21 05:04:00.463,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,70,48
2025/10/21 05:04:01.486,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,68,46
2025/10/21 05:04:02.510,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,19,15
2025/10/21 05:04:03.535,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,64,42
2025/10/21 05:04:04.559,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,70,48
2025/10/21 05:04:05.583,0,NVIDIA A100-SXM4-80GB,81920,75701,5348,68,46
