timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1761612152.0599701,5,2882,0.0065,3.0046,0
1761612153.1154032,6,3438,0.0077,244.4499,0
1761612154.1269877,6,3431,0.0077,251.0919,0
1761612155.2406607,7,4007,0.0090,228.0750,0
1761612156.2699826,6,3424,0.0077,251.6225,0
1761612157.3555508,6,3412,0.0077,239.5063,0
1761612158.4305646,7,4033,0.0091,245.5789,0
1761612159.5045972,6,3439,0.0077,242.0788,0
1761612160.5396488,6,3416,0.0077,251.1958,0
1761612161.6726696,7,4004,0.0090,233.0056,0
1761612162.7455766,6,3447,0.0078,247.9250,0
1761612163.8756852,7,4020,0.0090,238.9155,0
1761612164.9314947,6,3445,0.0078,250.0457,0
1761612165.9878075,6,3451,0.0078,250.8732,0
1761612167.0995245,7,4075,0.0092,233.8730,0
1761612168.1454399,6,3480,0.0078,252.4109,0
1761612169.2045975,6,3439,0.0077,242.6461,0
1761612170.2818584,7,4066,0.0092,245.9945,0
1761612171.3758888,6,3437,0.0077,237.6540,0
1761612172.4168499,6,3494,0.0079,254.5727,0
1761612173.5595179,7,4040,0.0091,230.1634,0
1761612174.5693128,6,3460,0.0078,261.4396,0
1761612175.6446466,6,3449,0.0078,235.2763,0
1761612176.7282348,7,4070,0.0092,242.7124,0
1761612177.7748833,6,3442,0.0077,242.6800,0
1761612178.826526,6,3432,0.0077,251.0362,0
1761612179.9319923,7,4020,0.0090,231.5770,0
1761612180.9775884,7,4042,0.0091,255.3570,0
1761612182.0476131,6,3407,0.0077,238.3127,0
1761612183.132079,7,4039,0.0091,245.2824,0
1761612184.2155764,6,3408,0.0077,239.9640,0
1761612185.2533505,6,3477,0.0078,255.3546,0
1761612186.3874857,7,4023,0.0091,229.2499,0
1761612187.43506,6,3451,0.0078,257.7388,0
1761612188.490839,6,3475,0.0078,243.4227,0
1761612189.5984354,7,4020,0.0090,241.0629,0
1761612190.693442,6,3392,0.0076,238.3551,0
1761612191.69824,6,3422,0.0077,263.7351,0
1761612192.8218286,7,4032,0.0091,227.8417,0
1761612193.8373768,6,3458,0.0078,255.0351,0
1761612194.9093308,6,3463,0.0078,238.8165,0
1761612195.9179366,6,3514,0.0079,255.7992,0
1761612197.0839562,7,3995,0.0090,223.8387,0
1761612198.0917506,6,3448,0.0078,264.9354,0
1761612199.2219224,7,3981,0.0090,226.5146,0
1761612200.2440755,6,3463,0.0078,256.3221,0
1761612201.3097768,6,3478,0.0078,239.2794,0
1761612202.345834,6,3456,0.0078,250.9521,0
