timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1761622207.3832617,5,2816,0.0063,1.7115,0
1761622208.4914725,7,4026,0.0091,236.4180,0
1761622209.5971644,6,3419,0.0077,241.4788,0
1761622210.7069883,7,4003,0.0090,245.9864,0
1761622211.7823071,6,3441,0.0077,248.2993,0
1761622212.9255867,7,4009,0.0090,232.6648,0
1761622214.0009267,7,4004,0.0090,253.8742,0
1761622215.1176403,7,3991,0.0090,239.9907,0
1761622216.2043076,7,4016,0.0090,246.6263,0
1761622217.3276732,7,4000,0.0090,240.3495,0
1761622218.4126894,7,3987,0.0090,247.9229,0
1761622219.4641213,6,3468,0.0078,253.9397,0
1761622220.5980623,7,3994,0.0090,231.9351,0
1761622221.6646495,6,3430,0.0077,257.8321,0
1761622222.8184533,7,4029,0.0091,228.8089,0
1761622223.8667324,6,3464,0.0078,260.4272,0
1761622225.0553432,7,3945,0.0089,227.1563,0
1761622226.1017008,6,3402,0.0077,260.9055,0
1761622227.2430525,7,4006,0.0090,235.6857,0
1761622228.375587,7,3993,0.0090,237.5208,0
1761622229.4769595,7,4050,0.0091,251.5047,0
1761622230.6444201,7,4103,0.0092,239.8373,0
1761622231.789548,7,4004,0.0090,241.0216,0
1761622232.8840137,7,3975,0.0089,251.2649,0
1761622234.0354955,7,4013,0.0090,241.4285,0
1761622235.201425,7,3956,0.0089,237.5790,0
1761622236.2941623,7,4049,0.0091,254.4075,0
1761622237.422595,7,4076,0.0092,239.2703,0
1761622238.4790833,6,3444,0.0078,256.5106,0
1761622239.6309123,7,4027,0.0091,229.2013,0
1761622240.7189336,6,3457,0.0078,251.8337,0
1761622241.8689833,7,4000,0.0090,239.9899,0
1761622242.9603353,6,3415,0.0077,251.9814,0
1761622244.1249018,7,4027,0.0091,239.5745,0
1761622245.2792542,7,4022,0.0091,236.4970,0
1761622246.3569431,6,3412,0.0077,258.8878,0
1761622247.4794865,7,4051,0.0091,238.7439,0
1761622248.5653892,6,3456,0.0078,246.7998,0
1761622249.7102523,7,4050,0.0091,237.5835,0
1761622250.7748833,6,3442,0.0077,255.4879,0
1761622251.9117966,7,4005,0.0090,237.4855,0
1761622253.0134988,6,3448,0.0078,244.1680,0
1761622254.1250157,7,4048,0.0091,243.8113,0
1761622255.2051017,6,3445,0.0078,249.0545,0
1761622256.3373396,7,4016,0.0090,237.5832,0
1761622257.4136539,6,3430,0.0077,250.8566,0
