timestamp,gpu_index,gpu_name,mem_total_MiB,mem_used_MiB,mem_free_MiB,util_gpu_pct,util_mem_pct
2025/11/07 20:44:40.076,0,NVIDIA A100-SXM4-80GB,81920,62107,18942,42,33
2025/11/07 20:44:41.098,0,NVIDIA A100-SXM4-80GB,81920,62387,18662,65,53
2025/11/07 20:44:42.121,0,NVIDIA A100-SXM4-80GB,81920,62513,18536,63,50
2025/11/07 20:44:43.145,0,NVIDIA A100-SXM4-80GB,81920,62637,18412,70,56
2025/11/07 20:44:44.171,0,NVIDIA A100-SXM4-80GB,81920,62637,18412,65,52
2025/11/07 20:44:45.194,0,NVIDIA A100-SXM4-80GB,81920,62637,18412,67,54
2025/11/07 20:44:46.217,0,NVIDIA A100-SXM4-80GB,81920,62637,18412,66,53
2025/11/07 20:44:47.242,0,NVIDIA A100-SXM4-80GB,81920,62639,18410,89,34
2025/11/07 20:44:48.284,0,NVIDIA A100-SXM4-80GB,81920,62639,18410,90,35
2025/11/07 20:44:49.307,0,NVIDIA A100-SXM4-80GB,81920,62641,18408,89,34
2025/11/07 20:44:50.343,0,NVIDIA A100-SXM4-80GB,81920,62641,18408,91,34
2025/11/07 20:44:51.368,0,NVIDIA A100-SXM4-80GB,81920,62643,18406,89,32
2025/11/07 20:44:52.391,0,NVIDIA A100-SXM4-80GB,81920,62643,18406,93,35
2025/11/07 20:44:53.416,0,NVIDIA A100-SXM4-80GB,81920,62643,18406,86,36
2025/11/07 20:44:54.439,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,93,38
2025/11/07 20:44:55.464,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,91,38
2025/11/07 20:44:56.488,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,89,42
2025/11/07 20:44:57.513,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,90,43
2025/11/07 20:44:58.536,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,88,45
2025/11/07 20:44:59.561,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,76,63
2025/11/07 20:45:00.594,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,81,67
2025/11/07 20:45:01.618,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,78,65
2025/11/07 20:45:02.641,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,86,72
2025/11/07 20:45:03.665,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,86,72
2025/11/07 20:45:04.690,0,NVIDIA A100-SXM4-80GB,81920,62769,18280,84,71
2025/11/07 20:45:05.713,0,NVIDIA A100-SXM4-80GB,81920,62771,18278,86,73
2025/11/07 20:45:06.737,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,83,68
2025/11/07 20:45:07.761,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,85,69
2025/11/07 20:45:08.785,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,77,63
2025/11/07 20:45:09.810,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,82,67
2025/11/07 20:45:10.833,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,83,67
2025/11/07 20:45:11.857,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,83,69
2025/11/07 20:45:12.880,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,85,70
2025/11/07 20:45:13.904,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,81,67
2025/11/07 20:45:14.928,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,83,70
2025/11/07 20:45:15.952,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,79,66
2025/11/07 20:45:16.976,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,78,66
2025/11/07 20:45:18.000,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,82,70
2025/11/07 20:45:19.024,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,79,67
2025/11/07 20:45:20.048,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,83,71
2025/11/07 20:45:21.072,0,NVIDIA A100-SXM4-80GB,81920,62773,18276,80,69
2025/11/07 20:45:22.096,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,77,66
2025/11/07 20:45:23.121,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,80,69
2025/11/07 20:45:24.145,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,81,65
2025/11/07 20:45:25.170,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,82,66
2025/11/07 20:45:26.194,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,79,59
2025/11/07 20:45:27.218,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,80,62
2025/11/07 20:45:28.242,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,83,61
2025/11/07 20:45:29.265,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,80,59
2025/11/07 20:45:30.288,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,84,59
2025/11/07 20:45:31.317,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,77,59
2025/11/07 20:45:32.343,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,79,55
2025/11/07 20:45:33.367,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,85,54
2025/11/07 20:45:34.391,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,82,49
2025/11/07 20:45:35.417,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,86,55
2025/11/07 20:45:36.442,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,84,52
2025/11/07 20:45:37.466,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,85,57
2025/11/07 20:45:38.491,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,85,54
2025/11/07 20:45:39.516,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,83,59
2025/11/07 20:45:40.540,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,85,59
2025/11/07 20:45:41.566,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,84,56
2025/11/07 20:45:42.590,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,86,59
2025/11/07 20:45:43.614,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,80,64
2025/11/07 20:45:44.640,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,80,59
2025/11/07 20:45:45.662,0,NVIDIA A100-SXM4-80GB,81920,62775,18274,80,63
