timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1762548280.8590465,1,2222,0.0068,11.4155,0
1762548281.7942085,2,4468,0.0136,72.7148,0
1762548282.7122374,3,6802,0.0207,114.3757,0
1762548283.6044612,4,9173,0.0280,156.9117,0
1762548284.562536,5,11560,0.0352,184.7460,0
1762548285.493925,6,13935,0.0425,229.7647,0
1762548286.4632785,7,16419,0.0501,258.9360,0
1762548287.416953,8,18925,0.0577,303.0388,0
1762548288.3429303,9,21464,0.0654,350.9813,0
1762548289.3433628,10,24013,0.0732,364.8428,0
1762548290.2862473,11,26638,0.0812,426.3520,0
1762548291.2682924,12,29309,0.0894,449.0639,0
1762548292.0733485,12,29789,0.0908,596.2328,0
1762548293.0220277,13,32542,0.0992,547.0774,0
1762548294.0123322,14,35242,0.1075,562.4544,0
1762548294.9551573,15,38108,0.1162,632.1437,0
1762548295.944739,16,40971,0.1249,639.6658,0
1762548296.9266796,17,43806,0.1336,685.3787,0
1762548297.906483,18,46753,0.1425,726.6775,0
1762548298.9123085,19,49720,0.1516,746.6518,0
1762548299.9137223,20,52727,0.1608,790.8828,0
1762548300.9000943,21,55818,0.1702,842.4836,0
1762548301.9396174,22,58953,0.1797,837.8861,0
1762548302.978973,23,62096,0.1893,878.4304,0
1762548304.0182915,24,65294,0.1991,917.9106,0
1762548305.0729284,25,68534,0.2090,944.4021,0
1762548306.2964156,27,74023,0.2257,850.0307,0
1762548307.4080648,28,77363,0.2359,976.9287,0
1762548308.525067,29,80749,0.2462,1011.6387,0
1762548309.6992471,30,84158,0.2566,1002.4031,0
1762548310.8614626,31,87602,0.2671,1053.1623,0
1762548312.0576897,32,91069,0.2777,1061.6735,0
1762548313.408679,34,96810,0.2952,979.2844,0
1762548314.6464424,35,100369,0.3060,1110.0680,0
1762548315.8638382,36,103939,0.3169,1168.0692,0
1762548317.1243436,37,107599,0.3281,1166.9944,0
1762548318.5512817,39,113582,0.3463,1071.5269,0
1762548319.846816,40,117387,0.3579,1219.5751,0
1762548321.3183463,42,123436,0.3763,1108.3718,0
1762548322.6521716,43,127335,0.3882,1269.2832,0
1762548324.0249307,44,131284,0.4003,1270.4354,0
1762548325.564165,46,137612,0.4196,1173.3115,0
1762548326.9994402,47,141692,0.4320,1298.0105,0
1762548328.5672596,49,148001,0.4512,1227.8221,0
1762548330.0263517,50,152183,0.4640,1359.0656,0
1762548331.686743,52,158713,0.4839,1233.4461,0
1762548333.3462553,54,165212,0.5037,1270.8564,0
1762548334.9040904,55,169566,0.5170,1398.0953,0
1762548336.6324663,57,176246,0.5374,1297.1735,0
1762548338.3869658,59,183015,0.5580,1315.4760,0
1762548340.0367994,59,183359,0.5590,1421.9627,0
1762548341.848559,60,186000,0.5671,1314.7460,0
1762548343.6841936,61,188712,0.5754,1316.1677,0
1762548345.54465,62,191381,0.5835,1318.4950,0
1762548347.4329863,63,194119,0.5919,1318.0929,0
1762548349.1576307,63,194730,0.5937,1464.6510,0
1762548351.054913,64,197523,0.6022,1352.4630,0
1762548352.9904137,65,200321,0.6108,1345.3897,0
1762548354.9570885,66,203200,0.6195,1344.9112,0
1762548356.9491997,67,206174,0.6286,1347.3155,0
1762548358.9464931,68,209075,0.6375,1364.8494,0
1762548361.0018473,69,212054,0.6465,1346.7288,0
1762548363.0303354,70,215057,0.6557,1386.2562,0
1762548365.089852,72,222354,0.6779,1385.7636,0
1762548367.152825,73,225583,0.6878,1405.2548,0
1762548369.3981323,75,231008,0.7043,1311.1804,0
1762548371.502086,76,234125,0.7138,1422.0857,0
1762548373.6296804,77,237463,0.7240,1426.9664,0
1762548375.7761087,78,240823,0.7343,1436.8069,0
1762548377.9374437,79,244210,0.7446,1449.1063,0
1762548380.1198623,80,247600,0.7549,1456.6424,0
1762548382.5062225,82,253293,0.7723,1353.5265,0
1762548384.7258337,83,256714,0.7827,1478.1883,0
1762548386.9848666,84,260202,0.7933,1473.1988,0
1762548389.413868,86,265895,0.8107,1391.1076,0
1762548391.7039347,86,265282,0.8088,1499.0839,0
1762548394.021313,87,268944,0.8200,1502.1307,0
1762548396.5279148,89,274757,0.8377,1408.6817,0
1762548398.8695166,90,278456,0.8490,1530.5774,0
1762548401.0935762,90,280014,0.8537,1625.4082,0
1762548403.1479385,89,279370,0.8518,1740.2010,0
1762548405.185289,88,278703,0.8497,1732.1527,0
1762548407.2431517,86,273762,0.8347,1688.6463,0
1762548409.3163505,85,273003,0.8324,1652.0386,0
1762548411.347451,84,272233,0.8300,1662.6470,0
1762548413.3583806,82,267150,0.8145,1654.4615,0
1762548415.3497603,81,266191,0.8116,1642.0793,0
1762548417.3542614,80,265185,0.8085,1605.8874,0
1762548419.3810177,78,259936,0.7925,1562.5967,0
1762548421.4079869,77,258837,0.7892,1532.3387,0
1762548423.409846,76,257688,0.7857,1526.0837,0
1762548425.3810616,74,252160,0.7688,1517.8467,0
