timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1762496157.4060895,19,8060,0.4030,112.8861,0
1762496158.650044,30,13555,0.6777,848.9070,4
1762496159.4619734,30,14755,0.7378,1477.9631,14
1762496160.3051097,30,15955,0.7977,1423.2598,24
1762496161.19078,30,17155,0.8578,1354.9091,34
1762496162.075228,30,18355,0.9177,1356.7809,45
1762496162.9472034,30,19555,0.9778,1376.1882,55
1762496163.8269033,28,19429,0.9715,1332.2746,67
1762496164.7106206,27,19844,0.9922,1245.8752,79
1762496165.6100163,25,19425,0.9712,1156.3335,92
1762496166.5160863,24,19636,0.9818,1086.0105,103
1762496167.4498332,23,19766,0.9883,1002.4143,116
1762496168.3875463,22,19817,0.9909,950.1852,128
1762496169.3416543,21,19782,0.9891,889.8375,140
1762496170.3072903,20,19666,0.9833,839.8622,153
1762496171.2914379,19,19460,0.9730,789.5169,165
1762496172.2786214,18,19179,0.9589,758.7251,178
1762496173.278608,18,19899,0.9950,720.0247,190
1762496174.3002112,17,19487,0.9744,671.4947,203
1762496175.3426566,16,18996,0.9498,643.6795,216
1762496176.4023347,16,19636,0.9818,603.9576,229
1762496177.4774752,15,19023,0.9512,579.4601,243
1762496178.5615027,15,19623,0.9811,553.4921,256
1762496179.6632469,14,18894,0.9447,531.8844,270
1762496180.7849596,14,19454,0.9727,499.2373,283
1762496181.9149044,13,18606,0.9303,495.6001,297
1762496183.0790083,13,19126,0.9563,446.6962,311
1762496184.2375526,13,19646,0.9823,448.8399,325
1762496185.428714,12,18633,0.9316,426.4750,340
1762496186.6375787,12,19113,0.9556,397.0673,355
1762496187.8787608,12,19593,0.9797,386.7287,369
1762496189.123471,11,18411,0.9205,380.8118,385
1762496190.3865418,11,18851,0.9425,348.3577,400
1762496191.6817994,11,19291,0.9646,339.7011,415
1762496192.9963174,11,19731,0.9866,334.7237,431
1762496194.3153198,10,18355,0.9177,322.2135,448
1762496195.6666772,10,18755,0.9377,295.9989,464
1762496197.0317807,10,19155,0.9577,293.0183,480
1762496198.4170175,10,19555,0.9778,288.7596,497
1762496199.8222005,10,19955,0.9978,284.6607,513
1762496201.2750561,9,18336,0.9168,251.2296,532
1762496202.7387178,9,18696,0.9348,245.9588,549
