timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1762483099.2233617,2,4463,0.2231,17.8220,0
1762483100.2882862,4,9002,0.4501,103.2939,0
1762483101.1933992,5,11391,0.5696,192.2415,0
1762483102.1021972,6,13882,0.6941,249.7810,0
1762483103.0413635,7,16380,0.8190,298.1374,1
1762483103.835708,7,16660,0.8330,352.4930,2
1762483104.6332266,7,16940,0.8470,351.0898,3
1762483105.4479136,7,17220,0.8610,343.6909,4
1762483106.2491376,7,17500,0.8750,349.4662,6
1762483107.0610545,7,17780,0.8890,344.8637,7
1762483107.8691595,7,18060,0.9030,346.4906,8
1762483108.6648712,7,18340,0.9170,351.8871,9
1762483109.481375,7,18620,0.9310,342.9263,11
1762483110.298886,7,18900,0.9450,342.5036,12
1762483111.11542,7,19180,0.9590,342.9136,13
1762483111.9441772,7,19460,0.9730,337.8562,14
1762483112.7767158,7,19740,0.9870,336.3213,15
1762483113.6216586,6,17242,0.8621,329.0169,18
1762483114.4404714,6,17482,0.8741,293.1079,19
1762483115.26001,6,17722,0.8861,292.8484,20
1762483116.095394,6,17962,0.8981,287.2937,21
1762483116.9035828,6,18202,0.9101,296.9610,23
1762483117.7205343,6,18442,0.9221,293.7757,24
1762483118.5393703,6,18682,0.9341,293.0997,25
1762483119.3584437,6,18922,0.9461,293.0144,26
1762483120.1842058,6,19162,0.9581,290.6411,28
1762483121.019149,6,19402,0.9701,287.4451,29
1762483121.8554974,6,19642,0.9821,286.9623,30
1762483122.6895685,6,19882,0.9941,287.7459,31
1762483123.5308344,5,16791,0.8396,261.5110,34
1762483124.3903902,5,16991,0.8496,232.6788,35
1762483125.2474492,5,17191,0.8596,233.3566,36
1762483126.105366,5,17391,0.8696,233.1233,37
1762483126.9570978,5,17591,0.8796,234.8161,39
1762483127.8014984,5,17791,0.8895,236.8548,40
1762483128.687397,5,17991,0.8995,225.7599,41
1762483129.5916862,5,18191,0.9095,221.1686,43
1762483130.5083203,5,18391,0.9195,218.1900,44
1762483131.4084938,5,18591,0.9295,222.1798,45
1762483132.3254516,5,18791,0.9395,218.1129,47
1762483133.2464895,5,18991,0.9496,217.1468,48
1762483134.1755402,5,19191,0.9596,215.2739,50
1762483135.1149583,5,19391,0.9696,212.8980,51
1762483136.0575469,5,19591,0.9796,212.1820,52
1762483136.9869323,5,19791,0.9896,215.1965,54
1762483137.9249055,5,19991,0.9996,213.2262,55
1762483138.8824341,4,16202,0.8101,169.1858,58
1762483139.829542,4,16362,0.8181,168.9357,59
1762483140.7855575,4,16522,0.8261,167.3617,60
1762483141.8870869,4,16406,0.8203,145.2529,61
1762483143.1653383,5,16811,0.8406,138.4707,61
1762483144.605917,6,15307,0.7653,159.6583,60
1762483145.5590649,6,15547,0.7773,251.7979,62
1762483146.4967217,6,15787,0.7893,255.9577,63
1762483147.4495115,6,16027,0.8014,251.8925,64
1762483148.390458,6,16267,0.8134,255.0628,66
1762483149.6729128,7,16719,0.8359,201.1770,66
1762483150.6128337,7,16999,0.8499,297.8980,67
1762483151.5464349,7,17279,0.8639,299.9146,69
1762483152.4679873,7,17559,0.8780,303.8357,70
1762483153.423026,7,17839,0.8920,293.1823,71
1762483154.3757374,7,18119,0.9060,293.8986,73
1762483155.3540642,7,18399,0.9200,286.2036,74
1762483156.3254054,7,18679,0.9339,288.2617,76
1762483157.3080647,7,18959,0.9479,284.9415,77
1762483158.2749805,7,19239,0.9619,289.5811,79
1762483159.2428944,7,19519,0.9759,289.2824,80
1762483160.2357342,7,19799,0.9899,282.0199,82
1762483161.2274594,6,17355,0.8678,271.2451,84
1762483162.2352304,6,17595,0.8798,238.1498,86
1762483163.247802,6,17835,0.8918,237.0207,87
1762483164.2568045,6,18075,0.9038,237.8592,89
1762483165.231004,6,18315,0.9157,246.3565,90
1762483166.195129,6,18555,0.9277,248.9310,92
1762483167.164879,6,18795,0.9397,247.4868,93
1762483168.150889,6,19035,0.9517,243.4058,94
1762483169.1152108,6,19275,0.9637,248.8798,96
1762483170.1067388,6,19515,0.9758,242.0511,97
1762483171.1154914,6,19755,0.9878,237.9181,99
1762483172.1418111,6,19995,0.9998,233.8457,100
1762483173.1926792,5,17075,0.8538,191.2708,103
1762483174.2618961,5,17275,0.8638,187.0531,105
1762483175.313204,5,17475,0.8738,190.2396,106
1762483176.371399,5,17675,0.8838,189.0014,108
1762483177.4423957,5,17875,0.8938,186.7423,109
1762483178.4980624,5,18075,0.9038,189.4541,111
1762483179.5687401,5,18275,0.9137,186.7979,113
1762483180.6331627,5,18475,0.9237,187.8957,114
1762483181.7214313,5,18675,0.9337,183.7785,116
1762483182.8042254,5,18875,0.9437,184.7076,117
1762483183.873212,5,19075,0.9537,187.0934,119
1762483184.9563615,5,19275,0.9637,184.6471,121
1762483186.054617,5,19475,0.9738,182.1074,122
1762483187.1695292,5,19675,0.9838,179.3866,124
1762483188.2730196,5,19875,0.9938,181.2434,126
1762483189.396118,4,16112,0.8056,165.6135,128
1762483190.5112448,4,16272,0.8136,143.4817,130
1762483191.6392722,4,16432,0.8216,141.8408,132
1762483192.7726061,4,16592,0.8296,141.1788,133
1762483193.9144487,4,16752,0.8376,140.1247,135
1762483195.5302973,5,16911,0.8456,110.1589,134
1762483197.0679991,6,15318,0.7659,150.2244,134
1762483198.1255388,6,15558,0.7779,226.9421,135
1762483199.1815057,6,15798,0.7899,227.2804,137
1762483200.2501066,6,16038,0.8019,224.5930,139
1762483201.32583,6,16278,0.8139,223.1060,140
1762483202.7530785,7,16735,0.8367,173.0604,140
1762483203.8399,7,17015,0.8508,257.6323,142
1762483204.9179785,7,17295,0.8648,259.7216,144
1762483205.9870565,7,17575,0.8788,261.9083,145
1762483207.0538704,7,17855,0.8928,262.4642,147
1762483208.1247852,7,18135,0.9067,261.4591,148
1762483209.1960092,7,18415,0.9207,261.3836,150
1762483210.335924,7,18695,0.9347,245.6328,152
1762483211.471281,7,18975,0.9487,246.6188,153
1762483212.6325107,7,19255,0.9627,241.1241,155
1762483213.7931867,7,19535,0.9768,241.2391,157
1762483214.95994,7,19815,0.9908,239.9825,159
1762483216.1357996,6,17358,0.8679,227.0683,161
1762483217.316784,6,17598,0.8799,203.2206,163
1762483218.5044618,6,17838,0.8919,202.0753,165
1762483219.6987648,6,18078,0.9039,200.9543,167
1762483220.892652,6,18318,0.9159,201.0243,168
1762483222.056984,6,18558,0.9279,206.1271,170
1762483223.2637172,6,18798,0.9399,198.8844,172
1762483224.450333,6,19038,0.9519,202.2562,174
