timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1762489778.0052989,2,866,0.0433,20.4622,0
1762489778.778457,4,1781,0.0891,143.5674,0
1762489779.5220318,5,2357,0.1178,236.6948,0
1762489780.3208148,7,3398,0.1699,294.1982,0
1762489781.059538,8,4107,0.2054,403.3997,0
1762489781.8565035,10,5282,0.2641,449.2045,0
1762489782.6221297,11,6106,0.3053,549.8779,0
1762489783.4330573,13,7397,0.3699,598.0819,0
1762489784.197839,14,8345,0.4173,712.6228,0
1762489784.9909554,16,9766,0.4883,772.9017,0
1762489785.805141,18,11248,0.5624,824.1374,0
1762489786.5890388,19,12385,0.6192,941.4506,0
1762489787.4417427,21,14002,0.7001,942.8852,0
1762489788.251665,22,15268,0.7634,1069.2394,1
1762489789.0171244,22,16148,0.8074,1149.6387,2
1762489789.788376,22,17028,0.8514,1141.0041,4
1762489790.565768,22,17908,0.8954,1131.9926,5
1762489791.3385258,22,18788,0.9394,1138.7807,7
1762489792.1224184,22,19668,0.9834,1122.6044,8
1762489792.9102845,21,19882,0.9941,1086.4803,11
1762489793.6931338,20,19984,0.9992,1029.5739,13
1762489794.4828136,19,19985,0.9992,963.6832,16
1762489795.2545712,18,19888,0.9944,934.2323,19
1762489796.0343442,17,19682,0.9841,881.0278,21
1762489796.8244035,16,19366,0.9683,834.1158,24
1762489797.6141481,15,18948,0.9474,810.3900,26
1762489798.4062812,15,19548,0.9774,757.4496,28
1762489799.20584,14,18985,0.9493,739.1587,30
1762489799.999785,14,19545,0.9772,705.3397,32
1762489800.8020136,13,18837,0.9418,689.3304,35
1762489801.6209078,13,19357,0.9678,635.0038,36
1762489802.4415576,13,19877,0.9939,633.6451,38
1762489803.2726648,12,18980,0.9490,589.5759,41
1762489804.0997267,12,19460,0.9730,580.3687,42
1762489804.9113374,12,19940,0.9970,591.4176,44
1762489805.7214417,11,18866,0.9433,550.5473,46
1762489806.532784,11,19306,0.9653,542.3122,48
1762489807.371943,11,19746,0.9873,524.3354,50
1762489808.1927977,10,18482,0.9241,516.5354,52
1762489809.0248635,10,18882,0.9441,480.7320,54
1762489809.866124,10,19282,0.9641,475.4777,56
1762489810.710925,10,19682,0.9841,473.4850,57
1762489811.5582786,9,18195,0.9097,462.6176,60
1762489812.3903618,9,18555,0.9277,432.6496,62
1762489813.240392,8,16713,0.8357,422.3384,63
1762489814.2835581,10,17549,0.8774,339.3518,63
1762489815.4181159,14,16564,0.8282,410.7333,59
1762489816.4226913,16,16651,0.8326,591.2955,58
1762489817.5134966,20,15378,0.7689,654.5633,54
1762489818.4728343,20,15487,0.7743,833.9099,55
1762489819.4238,22,15345,0.7672,910.6542,54
1762489820.2754474,22,16225,0.8113,1033.2935,55
1762489821.101581,22,17105,0.8552,1065.2041,57
1762489821.9521444,21,15769,0.7884,1015.7997,59
1762489822.804276,21,16609,0.8305,985.7646,61
1762489823.6644313,21,17449,0.8724,976.5697,62
1762489824.5216396,21,18289,0.9144,979.9269,64
1762489825.3799036,21,19129,0.9565,978.7218,66
1762489826.233526,21,19969,0.9984,984.0435,67
1762489827.115907,19,19215,0.9607,908.9057,71
1762489827.9912324,19,19975,0.9988,868.2499,73
1762489828.860079,18,19863,0.9931,830.9878,76
1762489829.7217252,17,19604,0.9802,798.4731,78
1762489830.5865548,16,19277,0.9638,767.7824,81
1762489831.471829,16,19917,0.9959,722.9408,83
1762489832.3391614,15,19474,0.9737,698.6952,86
1762489833.2223926,14,17855,0.8928,655.5482,87
1762489834.11341,14,18415,0.9207,628.4957,89
1762489834.9930444,14,18975,0.9487,636.6290,91
1762489835.8792048,14,19535,0.9768,631.9405,93
1762489836.7613866,13,18777,0.9388,627.9894,95
1762489837.6544456,13,19297,0.9648,582.2694,97
1762489838.543512,13,19817,0.9909,584.8838,99
1762489839.4276311,12,18907,0.9454,559.8804,102
1762489840.3129416,12,19387,0.9694,542.1837,103
1762489841.2130842,12,19867,0.9933,533.2496,105
1762489842.118229,11,18797,0.9398,499.3683,108
1762489843.0328991,11,19237,0.9618,481.0484,110
1762489843.94572,11,19677,0.9839,482.0229,112
1762489844.8521955,10,18419,0.9210,474.3653,115
1762489845.7640839,9,16590,0.8295,407.9452,116
1762489846.693374,9,16950,0.8475,387.3931,118
1762489847.5988677,9,17310,0.8655,397.5737,120
1762489848.6622477,10,17561,0.8780,345.1264,120
1762489849.5742366,10,17961,0.8981,438.6025,122
1762489850.5922012,11,16963,0.8481,398.8356,122
1762489851.5009968,11,17403,0.8701,484.1579,124
1762489852.415793,11,17843,0.8921,480.9822,126
1762489853.3365026,11,18283,0.9142,477.8931,127
1762489854.2591343,11,18723,0.9362,476.8975,129
1762489855.3927572,13,16936,0.8468,419.8933,128
1762489856.8670359,21,15174,0.7587,447.6769,119
1762489857.9161797,23,15057,0.7529,834.9677,118
1762489858.827285,23,15977,0.7988,1009.7638,119
1762489859.7487557,23,16897,0.8448,998.4053,121
1762489860.6960979,23,17817,0.8909,971.1397,123
1762489861.653313,22,16522,0.8261,945.4522,125
1762489862.5936074,22,17402,0.8701,935.8784,127
1762489863.5656354,22,18282,0.9141,905.3253,129
1762489864.5164993,22,19162,0.9581,925.4756,131
1762489865.468453,21,19298,0.9649,923.3657,134
1762489866.4245462,20,19359,0.9679,872.3011,137
1762489867.3833935,19,19343,0.9671,827.0355,140
1762489868.3529203,18,19216,0.9608,778.7314,142
1762489869.3041418,18,19936,0.9968,756.9225,144
1762489870.2483828,17,19692,0.9846,724.3924,147
1762489871.1884193,16,19369,0.9685,701.0382,150
1762489872.1454427,15,18969,0.9485,668.7412,153
1762489873.109725,15,19569,0.9785,622.2255,155
1762489874.081507,14,19012,0.9506,606.1042,158
1762489875.040392,14,19572,0.9786,584.0124,160
1762489876.0115533,13,18901,0.9450,567.3626,163
1762489876.9994335,13,19421,0.9710,526.3806,165
1762489877.9767618,13,19941,0.9970,532.0635,167
1762489878.9769185,12,19110,0.9555,484.9246,170
1762489879.9590766,12,19590,0.9795,488.7205,172
1762489880.9592764,11,18642,0.9321,474.9056,175
1762489881.963669,10,16857,0.8428,416.1725,177
1762489882.9644547,10,17257,0.8629,399.6865,179
1762489883.9516912,10,17657,0.8829,405.1718,181
1762489884.9449248,10,18057,0.9029,402.7254,183
1762489885.942998,10,18457,0.9228,400.7727,185
1762489887.0386581,10,18071,0.9035,365.0773,186
1762489888.0368166,10,18471,0.9235,400.7385,188
1762489889.0442023,10,18871,0.9435,397.0680,190
1762489890.0521667,9,17073,0.8537,396.8400,192
1762489891.1415753,10,18282,0.9141,367.1721,193
1762489892.2032456,10,16887,0.8444,376.7654,194
1762489893.430232,12,17219,0.8609,339.0425,194
1762489894.4340513,12,17699,0.8850,478.1747,196
1762489895.622468,13,16158,0.8079,409.7894,195
1762489896.6298115,13,16678,0.8339,516.2099,197
1762489897.6509311,13,17198,0.8599,509.2457,199
1762489898.6845565,13,17718,0.8859,503.0841,201
1762489899.7115312,13,18238,0.9119,506.3423,203
1762489901.032419,15,15848,0.7924,422.4437,201
1762489902.294504,18,16536,0.8268,551.4688,199
1762489903.3067791,18,17256,0.8628,711.2700,201
1762489904.3461468,18,17976,0.8988,692.7298,203
1762489905.370809,18,18696,0.9348,702.6714,205
1762489906.410237,18,19416,0.9708,692.6895,207
1762489907.4251206,17,17920,0.8960,689.7356,210
1762489908.4451056,17,18600,0.9300,666.6774,212
1762489909.485536,17,19280,0.9640,653.5766,214
1762489910.5573123,17,19960,0.9980,634.4617,216
1762489911.6227472,16,19844,0.9922,603.5099,219
1762489912.6917017,15,19650,0.9825,570.6518,222
1762489913.775467,14,19381,0.9690,538.8629,225
1762489914.8468504,14,19941,0.9970,522.6894,227
1762489915.9170504,13,19520,0.9760,490.5632,230
1762489916.9982235,12,17836,0.8918,476.3348,233
1762489918.0568814,12,18316,0.9158,453.4048,235
1762489919.1347406,12,18796,0.9398,445.3279,237
1762489920.2029178,12,19276,0.9638,449.3642,239
1762489921.275978,12,19756,0.9878,447.3194,241
1762489922.3853223,11,18007,0.9003,405.6457,243
1762489923.515098,11,18447,0.9224,389.4583,246
1762489924.6094341,11,18887,0.9444,402.0707,248
1762489925.7239392,11,19327,0.9664,394.7948,250
1762489926.823176,11,19767,0.9883,400.2784,252
1762489927.9138634,9,16581,0.8290,375.9101,255
1762489928.9966571,8,14736,0.7368,332.4738,258
1762489930.2797637,11,17373,0.8687,342.9181,257
1762489931.3752315,11,17813,0.8907,401.6553,259
1762489932.511901,11,18253,0.9126,387.0963,262
1762489933.6257505,11,18693,0.9346,395.0271,264
1762489934.7661147,10,16919,0.8459,371.8114,266
1762489936.2715554,15,16861,0.8430,354.7139,262
1762489937.3915732,15,17461,0.8730,535.7064,264
1762489938.539632,15,18061,0.9031,522.6220,267
1762489939.660494,15,18661,0.9331,535.3032,269
1762489940.7811263,14,17029,0.8515,506.8575,271
1762489942.0354922,16,16680,0.8340,508.6244,271
1762489943.4476137,19,15717,0.7859,472.3396,268
1762489944.579182,19,16477,0.8238,671.6351,271
1762489945.7628734,19,15430,0.7715,642.0601,272
1762489946.8975196,19,16190,0.8095,669.8130,274
1762489948.0527244,19,16950,0.8475,657.8927,277
1762489949.2258859,19,17710,0.8855,647.8235,279
1762489950.400035,19,18470,0.9235,647.2782,281
1762489951.571715,19,19230,0.9615,648.6421,284
1762489952.761119,18,17792,0.8896,637.2950,286
1762489953.9371588,18,18512,0.9256,612.2247,288
1762489955.0973754,18,19232,0.9616,620.5746,291
1762489956.2799692,18,19952,0.9976,608.8324,293
1762489957.467448,17,19872,0.9936,575.1690,296
1762489958.652354,16,19615,0.9808,546.8797,297
1762489959.8441353,15,19286,0.9643,524.4259,298
1762489961.045013,15,19886,0.9943,499.6353,298
1762489962.241715,14,19438,0.9719,474.6384,299
1762489963.4111655,14,19998,0.9999,478.8582,299
1762489964.6150267,13,19350,0.9675,432.7749,300
1762489965.8054981,13,19870,0.9935,436.8023,300
1762489966.998385,12,19105,0.9553,411.6073,301
1762489968.197756,12,19585,0.9792,400.2102,301
1762489969.3837895,11,18703,0.9352,400.4950,302
1762489970.5758169,11,19143,0.9571,369.1196,302
1762489971.7648547,11,19583,0.9791,370.0476,302
1762489972.9533124,10,17809,0.8904,359.2896,302
1762489974.1410851,10,18209,0.9104,336.7652,302
1762489975.4493594,10,17770,0.8885,305.7468,301
1762489976.642285,10,18170,0.9085,335.3106,301
1762489977.8411021,10,18570,0.9285,333.6629,301
1762489979.0517182,10,18970,0.9485,330.4108,301
1762489980.2597902,10,19370,0.9685,331.1066,301
1762489981.4703562,10,19770,0.9885,330.4245,301
1762489982.8747017,12,17372,0.8686,275.5735,297
1762489984.060551,12,17852,0.8926,404.7738,297
1762489985.2939076,12,16539,0.8269,389.1826,296
1762489986.6271772,13,16742,0.8371,363.7679,294
1762489987.7942472,13,17262,0.8631,445.5606,294
1762489988.9838078,13,17782,0.8891,437.1368,294
1762489990.8958437,24,15143,0.7571,429.3856,278
1762489992.0956688,24,16103,0.8052,800.1178,278
1762489993.2772381,24,17063,0.8531,812.4799,278
1762489994.481935,24,18023,0.9012,796.8819,278
1762489995.670379,24,18983,0.9492,807.7801,278
1762489996.8746579,24,19943,0.9971,797.1589,278
1762489998.06862,22,19553,0.9777,765.5195,280
1762489999.2555184,21,19723,0.9861,725.4211,281
1762490000.4498165,20,19815,0.9908,681.5729,282
1762490001.6633732,19,19829,0.9915,634.4994,283
1762490002.8485005,17,17538,0.8769,597.4052,284
1762490004.0283017,17,18218,0.9109,576.3692,284
1762490005.216276,17,18898,0.9449,572.4043,284
1762490006.4158573,17,19578,0.9789,566.8652,284
1762490007.6100862,16,19274,0.9637,556.8455,285
1762490008.8047967,16,19914,0.9957,535.6955,285
1762490010.0049224,15,19491,0.9746,504.9476,286
1762490011.196995,14,17861,0.8931,475.6428,286
1762490012.3850236,14,18421,0.9211,471.3700,286
1762490013.5815647,14,18981,0.9490,468.0163,286
1762490014.7731712,14,19541,0.9770,469.9544,286
1762490015.9651017,13,18826,0.9413,463.9538,287
1762490017.1522644,13,19346,0.9673,438.0198,287
1762490018.3522356,13,19866,0.9933,433.3443,287
1762490019.5400944,12,18991,0.9496,413.3493,288
1762490020.7254646,12,19471,0.9736,404.9374,288
1762490021.9120872,11,17747,0.8873,396.0827,288
1762490023.1184578,11,18187,0.9093,364.7309,288
1762490024.3072808,11,18627,0.9314,370.1146,288
1762490025.4890542,11,19067,0.9534,372.3225,288
1762490026.6841037,10,17300,0.8650,364.0022,288
1762490027.8798277,10,17700,0.8850,334.5259,288
1762490029.0711033,10,18100,0.9050,335.7751,288
1762490030.2557602,10,18500,0.9250,337.6511,288
1762490031.449545,10,18900,0.9450,335.0692,288
1762490032.6249063,10,19300,0.9650,340.3215,288
1762490033.8031719,10,19700,0.9850,339.4825,288
1762490034.986372,9,18189,0.9094,330.4601,289
1762490036.1654134,9,18549,0.9274,305.3333,289
1762490037.8393466,13,16901,0.8450,219.8417,281
1762490038.9807785,13,17421,0.8710,455.5686,281
1762490040.239171,14,16546,0.8273,423.5569,279
1762490041.391697,14,17106,0.8553,485.8900,279
1762490042.5588605,14,17666,0.8833,479.7962,279
1762490043.7501922,14,18226,0.9113,470.0632,279
1762490045.3574116,22,15062,0.7531,497.7546,267
1762490046.5250077,22,15942,0.7971,753.6862,267
1762490047.72124,22,15018,0.7509,735.6441,266
1762490048.877534,22,15898,0.7949,761.0531,266
1762490050.0202286,22,16778,0.8389,770.1106,266
1762490051.1766047,22,17658,0.8829,761.0097,266
1762490052.334766,22,18538,0.9269,759.8267,266
1762490053.507815,22,19418,0.9709,750.1829,266
1762490054.6671395,21,19638,0.9819,747.8504,267
1762490055.833985,20,19680,0.9840,701.0365,268
1762490057.0020432,19,19644,0.9822,665.2077,269
1762490058.1649272,18,19529,0.9765,635.4901,270
1762490059.3283138,17,19334,0.9667,607.7094,271
1762490060.5010774,16,19061,0.9530,579.8277,272
1762490061.6648428,16,19701,0.9850,549.9399,272
1762490062.8092089,15,19308,0.9654,540.9116,273
1762490063.9723446,15,19908,0.9954,515.8477,273
1762490065.1250958,13,17162,0.8581,467.5776,274
1762490066.2940695,13,17682,0.8841,444.8354,274
1762490067.4398036,13,18202,0.9101,453.8580,274
1762490068.5957248,13,18722,0.9361,449.8583,274
1762490069.7446358,13,19242,0.9621,452.6034,274
1762490070.9080074,13,19762,0.9881,446.9773,274
1762490072.0656934,12,18931,0.9466,431.0328,275
1762490073.2361853,11,17180,0.8590,380.1825,275
1762490074.3868256,11,17620,0.8810,382.3963,275
1762490075.5339592,11,18060,0.9030,383.5652,275
1762490076.6870363,11,18500,0.9250,381.5884,275
1762490077.8490193,11,18940,0.9470,378.6635,275
1762490079.0174212,11,19380,0.9690,376.5832,275
1762490080.1700234,11,19820,0.9910,381.7454,275
1762490081.3315582,10,18592,0.9296,359.0082,276
1762490082.4862835,9,16779,0.8389,337.7431,276
1762490083.8143806,10,17408,0.8704,286.1241,274
1762490084.9715793,10,17808,0.8904,345.6628,274
1762490086.1169906,10,18208,0.9104,349.2201,274
1762490087.264852,10,18608,0.9304,348.4745,274
1762490088.3941858,10,19008,0.9504,354.1916,274
1762490089.5357974,10,19408,0.9704,350.3824,274
1762490091.0298302,12,17290,0.8645,271.7481,269
1762490092.1673617,12,17770,0.8885,421.9669,269
1762490093.5601714,14,17080,0.8540,364.7308,265
1762490094.708836,14,17640,0.8820,487.5231,265
1762490095.8349068,14,18200,0.9100,497.3051,265
1762490096.9735718,14,18760,0.9380,491.8045,265
1762490098.439373,19,16109,0.8054,487.7883,257
1762490099.5575736,19,16869,0.8435,679.6643,257
1762490100.7418468,19,15831,0.7915,641.7444,256
1762490101.8762283,19,16591,0.8296,669.9693,256
1762490103.028141,19,17351,0.8676,659.7729,256
1762490104.1679714,19,18111,0.9055,666.7671,256
1762490105.3094642,19,18871,0.9435,665.7956,256
1762490106.424945,19,19631,0.9816,681.3214,256
1762490107.5485365,18,19724,0.9862,658.6031,257
1762490108.663055,17,19645,0.9822,624.4856,258
1762490109.7968256,16,19486,0.9743,583.0113,259
1762490110.9334714,15,19251,0.9626,556.9025,260
1762490112.069797,15,19851,0.9926,528.0183,260
1762490113.1952195,14,19496,0.9748,506.4771,261
1762490114.3212855,13,19062,0.9531,494.6433,262
1762490115.451239,13,19582,0.9791,460.1964,262
1762490116.5678656,12,17884,0.8942,446.8823,262
1762490117.6827986,12,18364,0.9182,430.5197,262
1762490118.811821,12,18844,0.9422,425.1472,262
1762490119.9519236,12,19324,0.9662,421.0154,262
1762490121.078191,12,19804,0.9902,426.1871,262
1762490122.2130094,11,19012,0.9506,402.7081,263
1762490123.3487785,10,17250,0.8625,386.5229,263
1762490124.6041923,11,17119,0.8559,340.9240,261
1762490125.726693,11,17559,0.8780,391.9825,261
1762490126.845937,11,17999,0.9000,393.1231,261
1762490128.2479675,13,17132,0.8566,320.9634,257
1762490129.3720908,13,17652,0.8826,462.5833,257
1762490130.6169386,14,17032,0.8516,428.1655,255
1762490131.7078145,14,17592,0.8796,513.3496,255
1762490132.904086,15,16762,0.8381,478.1530,253
1762490134.0042279,15,17362,0.8681,545.3851,253
1762490135.114664,15,17962,0.8981,540.3290,253
1762490136.2225354,15,18562,0.9281,541.5799,253
1762490137.3314147,15,19162,0.9581,541.0875,253
1762490138.4405506,15,19762,0.9881,540.9623,253
1762490139.5460675,14,19705,0.9852,521.0240,254
1762490140.6520674,13,19572,0.9786,490.0548,255
1762490141.7709763,12,19274,0.9637,458.4830,256
1762490142.8918126,11,17547,0.8773,424.6834,256
1762490143.9858384,11,17987,0.8993,402.1849,256
1762490145.3383007,13,17076,0.8538,347.5147,252
1762490146.424986,13,17596,0.8798,478.5202,252
1762490147.5401149,13,18116,0.9058,466.3146,252
1762490148.6474469,13,18636,0.9318,469.5981,252
1762490149.975133,16,16868,0.8434,463.9657,247
1762490151.0728486,16,17508,0.8754,583.0300,247
1762490152.2615614,17,16790,0.8395,569.5244,245
1762490153.355276,17,17470,0.8735,621.7354,245
1762490154.4615595,17,18150,0.9075,614.6715,245
1762490155.5771174,17,18830,0.9415,609.5615,245
1762490156.6876373,17,19510,0.9755,612.3267,245
1762490157.8077898,16,19550,0.9775,597.2410,246
1762490158.91307,15,19511,0.9756,569.0871,247
1762490160.0275502,14,19313,0.9657,532.0873,248
1762490161.1424365,14,19873,0.9937,502.2939,248
1762490162.262564,12,17356,0.8678,467.8046,249
1762490163.3956237,12,17836,0.8918,423.6322,249
1762490164.5174816,12,18316,0.9158,427.8623,249
1762490165.619673,12,18796,0.9398,435.4967,249
1762490166.736416,12,19276,0.9638,429.8219,249
1762490167.8572452,12,19756,0.9878,428.2551,249
1762490168.9915714,10,16921,0.8460,404.6461,250
1762490170.2448213,11,17066,0.8533,323.9582,248
1762490171.3467216,11,17506,0.8753,399.3109,248
1762490172.4483457,11,17946,0.8973,399.4109,248
1762490173.6755068,12,17633,0.8817,387.0727,246
1762490174.8725789,13,17002,0.8501,419.3569,244
1762490176.1128063,15,16590,0.8295,466.0442,241
1762490177.218759,15,17190,0.8595,542.5194,241
1762490178.4041283,16,16419,0.8209,529.7934,239
1762490179.4960108,16,17059,0.8529,586.1446,239
1762490180.5832658,16,17699,0.8850,588.6391,239
1762490181.6601744,16,18339,0.9170,594.2948,239
1762490182.7539933,16,18979,0.9489,585.1068,239
1762490183.8639972,16,19619,0.9809,576.5754,239
1762490184.9737716,15,18032,0.9016,556.8708,239
1762490186.110767,15,16834,0.8417,527.7073,238
1762490187.2100866,15,17434,0.8717,545.7928,238
1762490188.3127086,15,18034,0.9017,544.1585,238
1762490189.4088454,15,18634,0.9317,547.3776,238
1762490190.507084,15,19234,0.9617,546.3301,238
1762490191.604384,15,19834,0.9917,546.7976,238
1762490192.6977,14,19776,0.9888,523.1799,239
1762490193.793188,13,19348,0.9674,490.1933,240
1762490194.8990524,13,19868,0.9934,470.2211,240
1762490195.9970202,11,17110,0.8555,432.6180,241
1762490197.0915868,11,17550,0.8775,401.9861,241
1762490198.1966367,11,17990,0.8995,398.1726,241
1762490199.293201,11,18430,0.9215,401.2539,241
1762490200.6058276,14,17214,0.8607,410.6274,236
1762490201.844655,16,16812,0.8406,484.3295,233
1762490202.9419184,16,17452,0.8726,583.2700,233
1762490204.040425,16,18092,0.9046,582.6101,233
1762490205.1143165,16,18732,0.9366,595.9642,233
1762490206.1997607,16,19372,0.9686,589.6211,233
1762490207.2805808,15,19390,0.9695,592.1436,234
1762490208.3660815,14,17779,0.8890,544.4500,234
1762490209.461368,14,18339,0.9170,511.2826,234
1762490210.5734577,14,18899,0.9449,503.5573,234
1762490211.6652517,14,19459,0.9729,512.9178,234
