timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1762471425.212328,15,18036,0.9018,0.8612,134
1762471425.9834738,16,19402,0.9701,820.8595,133
1762471426.6872673,15,19256,0.9628,872.4182,136
1762471427.3981717,14,18950,0.9475,838.3716,136
1762471428.1832504,14,19361,0.9680,710.7582,135
1762471428.8818188,14,19921,0.9960,801.6420,138
1762471430.3863122,14,15111,0.7556,323.0330,127
1762471431.3031747,8,10227,0.5113,451.5407,129
1762471432.916884,15,19189,0.9595,338.9710,124
1762471433.7669,15,19498,0.9749,698.8117,122
1762471434.4523146,14,19272,0.9636,866.6318,123
1762471435.1336818,14,19832,0.9916,821.8790,126
1762471435.8166413,13,19576,0.9788,780.4288,127
1762471437.0156453,12,14577,0.7288,421.1836,123
1762471439.701432,9,19463,0.9731,142.6027,194
1762471440.9623032,15,19592,0.9796,335.4828,189
1762471441.8522358,14,19374,0.9687,637.1284,187
1762471442.5610368,13,19087,0.9544,757.6194,190
1762471443.2665834,12,18554,0.9277,701.5856,190
1762471444.775123,14,19113,0.9556,313.5487,188
1762471445.483135,14,19673,0.9837,790.9493,188
1762471446.579361,14,19406,0.9703,482.5655,187
1762471447.6363559,13,14547,0.7274,493.8539,182
1762471448.327816,13,15067,0.7533,752.0344,182
1762471449.0198917,13,15587,0.7793,751.3647,185
1762471449.7122912,13,16107,0.8054,751.0136,185
1762471451.0696638,8,14151,0.7076,262.2717,186
1762471452.1913607,14,19650,0.9825,461.8011,180
1762471453.5091088,12,13525,0.6763,374.8826,175
1762471454.5011036,12,19663,0.9831,479.8425,174
1762471455.7632792,14,18892,0.9446,328.0057,172
1762471456.4721465,14,19452,0.9726,789.9946,172
1762471457.3503947,14,19583,0.9791,627.3866,173
1762471458.4973166,15,19659,0.9829,466.4666,167
1762471459.4271476,15,19220,0.9610,630.2240,168
1762471461.1176085,14,18765,0.9383,342.5106,181
1762471461.894015,14,19215,0.9607,714.8335,180
1762471462.8820355,15,19610,0.9805,574.8877,179
1762471463.5863383,14,19143,0.9571,826.3522,179
1762471464.2857068,14,19703,0.9851,800.7248,179
1762471465.4750943,14,19115,0.9557,449.8121,176
1762471466.6935582,14,19139,0.9569,447.2850,176
1762471467.606441,14,19068,0.9534,600.2971,173
1762471468.6551607,15,19347,0.9674,517.7752,171
1762471469.3501837,14,19031,0.9516,853.2109,171
1762471470.0363603,14,19591,0.9796,816.1193,171
1762471471.0334563,14,16092,0.8046,541.5733,171
1762471471.7239323,13,15597,0.7799,799.4522,171
1762471472.693798,10,13019,0.6510,454.7028,173
1762471473.769279,8,11408,0.5704,348.6819,172
1762471477.2089703,15,19393,0.9697,149.1414,270
1762471478.0337715,14,19079,0.9539,686.2272,269
1762471478.7604446,14,19639,0.9819,770.6371,272
1762471480.192251,15,19135,0.9567,403.6864,267
1762471480.9315083,15,19735,0.9868,811.6272,270
1762471481.6699636,14,19318,0.9659,782.7167,271
1762471483.1055136,14,18321,0.9161,363.6242,265
1762471483.9795089,15,19385,0.9692,672.7738,263
1762471484.8100863,14,18457,0.9228,713.9626,265
1762471486.1226425,10,17729,0.8864,349.6998,264
1762471487.6750624,14,18609,0.9304,286.0054,276
1762471488.5321274,14,19488,0.9744,651.0604,275
1762471489.2689092,13,19202,0.9601,731.5613,278
1762471490.651695,14,18997,0.9498,365.9285,271
1762471491.9480314,15,19504,0.9752,411.1592,270
1762471492.6822252,14,19288,0.9644,768.1918,273
1762471493.412459,14,19848,0.9924,766.8798,273
1762471494.9136631,15,19475,0.9738,357.0470,267
1762471495.8118813,14,19009,0.9505,626.7978,265
1762471497.0172584,10,18238,0.9119,435.5491,265
1762471498.1716087,14,18590,0.9295,415.8190,260
1762471499.239254,14,19200,0.9600,505.7867,258
1762471500.2793558,14,19523,0.9761,525.9112,254
1762471501.7587721,11,18786,0.9393,349.4625,284
1762471502.7454493,12,19553,0.9777,469.2529,283
1762471503.8439426,14,18590,0.9295,430.5904,279
1762471504.7461216,14,19181,0.9590,620.7205,279
1762471505.8723662,15,19364,0.9682,483.9101,274
1762471507.299717,11,16057,0.8028,369.2159,305
1762471508.006951,11,16497,0.8248,622.1432,321
1762471509.3402267,14,18861,0.9431,386.2672,315
1762471510.246934,15,19858,0.9929,637.4726,313
1762471511.5660083,15,18968,0.9484,429.0894,307
1762471512.3859246,14,18235,0.9117,703.7329,306
1762471513.6566596,14,18888,0.9444,443.8382,304
1762471514.4068127,14,19448,0.9724,746.5164,304
1762471515.3990805,15,19754,0.9877,567.3884,301
1762471516.4022636,14,19019,0.9509,541.2779,298
1762471517.661378,13,17944,0.8972,416.1662,292
1762471518.88835,13,19271,0.9636,413.2131,291
1762471520.020873,9,15175,0.7588,423.8333,290
1762471521.3792756,9,16380,0.8190,258.3921,304
1762471522.8090987,14,18758,0.9379,325.9148,295
1762471523.7312102,15,19804,0.9902,637.6679,293
1762471524.749327,15,19465,0.9732,565.7519,290
1762471526.0449612,9,15556,0.7778,349.6362,288
1762471528.2772524,9,18971,0.9486,144.2465,345
1762471529.5453103,15,19092,0.9546,338.3132,337
1762471530.747067,15,18505,0.9253,479.2992,331
1762471532.0817754,15,18859,0.9429,437.5494,328
1762471533.0339289,15,19461,0.9730,624.9008,326
1762471533.7709982,14,19214,0.9607,808.6096,327
1762471534.7112627,14,19244,0.9622,622.1665,326
1762471535.78872,15,19508,0.9754,519.7431,322
1762471536.9834955,15,19056,0.9528,475.4038,316
1762471538.5946717,13,19373,0.9687,328.3320,346
1762471540.8894303,10,16927,0.8464,181.7186,420
1762471542.2285545,16,19208,0.9604,392.0478,411
1762471542.9896502,15,18792,0.9396,831.6979,411
1762471543.9925265,14,18798,0.9399,586.3143,409
1762471545.1885478,13,17322,0.8661,441.4644,404
1762471546.521549,15,19029,0.9515,414.1038,401
1762471547.2864964,15,19629,0.9815,784.3701,401
1762471548.5109978,14,18952,0.9476,452.4295,396
1762471549.2734966,14,19512,0.9756,734.4296,396
1762471550.1411622,14,19333,0.9667,639.6486,395
1762471551.457381,15,19369,0.9685,413.3057,389
1762471552.4796157,11,18005,0.9002,470.5386,389
1762471553.7032437,11,19271,0.9636,352.2318,388
1762471554.9448884,13,19220,0.9610,351.9531,385
1762471556.68196,15,18635,0.9317,299.9303,372
1762471557.4436414,15,19235,0.9617,787.7330,372
1762471558.6321743,12,16826,0.8413,465.2802,386
1762471559.9672036,16,19197,0.9598,414.9727,395
1762471561.1427333,16,19717,0.9859,535.0788,391
1762471562.2391036,15,19271,0.9636,533.5799,388
1762471563.3432372,13,19441,0.9720,519.8656,386
1762471564.715647,17,19769,0.9885,438.6451,380
1762471565.4798863,16,19452,0.9726,855.7545,381
1762471566.6991894,16,19189,0.9595,500.2865,375
1762471567.7142565,13,16522,0.8261,585.1837,372
1762471568.4554248,13,17042,0.8521,701.5973,372
1762471569.1853404,11,15648,0.7824,649.3914,372
1762471570.8463862,9,14087,0.7044,228.7719,369
1762471572.1879296,15,19007,0.9504,423.3937,361
1762471573.072681,14,19320,0.9660,640.8598,360
1762471574.5033402,14,18527,0.9264,356.4795,355
1762471575.2700546,14,19087,0.9544,730.3910,355
1762471576.03135,14,19647,0.9823,735.5898,355
1762471576.7949235,13,19290,0.9645,694.1057,355
1762471578.236788,13,18389,0.9194,344.6929,347
1762471579.1016235,13,19100,0.9550,622.0848,346
1762471580.3838859,14,15644,0.7822,415.6723,341
1762471581.6807818,16,19543,0.9771,465.7283,351
1762471582.4313102,15,19357,0.9678,812.7636,351
1762471583.1811812,15,19957,0.9979,800.1399,351
1762471584.1832643,15,19257,0.9628,554.8458,349
1762471585.6156733,15,19226,0.9613,411.1959,341
1762471586.3515155,13,17872,0.8936,766.4704,341
1762471587.511557,10,16660,0.8330,414.6408,341
1762471588.6945465,10,17786,0.8893,330.5189,340
1762471590.7507784,15,19262,0.9631,241.7045,329
1762471591.4910285,14,19036,0.9518,791.6264,329
1762471593.5050917,16,19327,0.9664,243.2896,316
1762471594.2541049,15,19191,0.9596,847.7846,316
1762471595.1046243,15,19220,0.9610,703.1009,315
1762471595.8559153,15,19820,0.9910,798.6270,315
1762471597.0148559,15,19503,0.9751,476.2978,311
1762471597.871327,15,19843,0.9921,694.7135,310
1762471598.779719,14,19305,0.9653,617.5758,309
1762471600.3085399,9,13828,0.6914,261.6399,307
1762471601.5790102,15,19224,0.9612,432.1240,300
1762471602.3193417,15,19824,0.9912,810.4507,300
1762471603.24712,14,19271,0.9636,607.9050,299
1762471605.1973617,12,19561,0.9780,250.7385,337
1762471606.295112,15,19221,0.9610,483.7172,333
1762471607.122671,14,18615,0.9307,714.1497,332
1762471608.3001072,14,18793,0.9396,461.1721,327
1762471609.2267952,14,19323,0.9661,604.3036,325
1762471610.1514013,14,19398,0.9699,605.6646,323
1762471611.381073,11,18653,0.9326,391.1619,323
1762471613.033633,16,18965,0.9483,238.4182,327
1762471614.0126066,16,19144,0.9572,645.5752,324
1762471614.8931184,15,18698,0.9349,676.8809,322
1762471615.6156743,13,16567,0.8284,725.2049,322
1762471616.8814902,16,19646,0.9823,437.6630,319
1762471617.6192863,15,19500,0.9750,833.5658,319
1762471618.354261,14,19234,0.9617,808.1925,320
1762471619.9220862,16,19595,0.9798,351.4426,309
1762471621.1256616,15,18806,0.9403,481.8985,311
1762471621.89596,15,19406,0.9703,778.9205,322
1762471622.6521902,14,19089,0.9545,777.5438,322
1762471623.5597942,14,19369,0.9685,605.9926,320
1762471624.4023354,14,19671,0.9836,662.2838,319
1762471625.6333947,14,19016,0.9508,419.9641,313
1762471626.76029,14,14785,0.7392,495.1668,308
1762471627.8013794,11,18422,0.9211,450.4906,307
1762471628.9490743,11,18066,0.9033,375.5362,306
1762471630.6520026,9,16402,0.8201,231.9537,350
1762471632.3871226,15,19336,0.9668,276.6382,342
1762471633.3209722,15,19621,0.9810,639.2901,340
1762471634.5588458,14,15239,0.7620,445.9266,335
1762471635.5701602,13,19518,0.9759,518.1387,334
1762471637.2469792,13,18236,0.9118,294.0094,329
1762471638.0913951,13,18754,0.9377,611.0750,328
1762471639.2395413,12,17368,0.8684,439.8401,323
1762471640.2339215,14,19300,0.9650,544.0586,320
1762471642.0081456,15,18846,0.9423,301.5406,313
1762471642.7543817,14,18631,0.9315,804.0374,313
1762471643.6018007,14,19191,0.9596,698.5934,313
1762471644.6444669,14,19420,0.9710,522.6996,310
1762471645.6208572,14,19052,0.9526,562.2758,307
1762471646.7454803,15,19288,0.9644,500.6129,302
1762471647.9694421,15,19403,0.9701,453.4462,300
1762471649.188761,15,18861,0.9431,483.8773,294
1762471650.106944,14,18504,0.9252,628.4163,292
1762471650.968278,14,19474,0.9737,646.6727,291
1762471652.0271485,14,19246,0.9623,513.7558,287
1762471653.1141846,10,16790,0.8395,410.2906,287
1762471654.6833375,14,19420,0.9710,238.3456,281
1762471655.9229527,15,19259,0.9629,435.6198,274
1762471656.827337,14,18822,0.9411,657.9075,272
1762471657.6260364,13,18475,0.9237,676.1006,271
1762471658.3378952,12,17429,0.8714,677.1031,271
1762471659.6352272,14,19161,0.9580,393.1152,267
1762471660.3603156,14,19721,0.9860,772.3212,267
1762471661.5889585,14,18742,0.9371,447.6493,261
1762471662.724983,14,18653,0.9326,484.1452,256
1762471663.440391,13,18366,0.9183,763.2031,256
1762471664.147342,12,14845,0.7422,681.8026,257
1762471665.0728447,8,16026,0.8013,450.5665,256
1762471666.4716651,9,19526,0.9763,203.0284,253
1762471668.0509632,15,18638,0.9319,217.1853,240
1762471668.850939,13,17385,0.8692,713.7732,239
1762471670.0281582,15,19378,0.9689,493.5369,237
1762471670.7490935,15,19978,0.9989,832.2541,237
1762471671.5640247,14,19441,0.9720,689.6308,237
1762471672.2842176,13,19156,0.9578,777.5710,238
1762471673.1998746,13,19480,0.9740,555.8859,236
1762471674.7515059,15,19158,0.9579,332.5537,224
1762471675.9487443,15,18640,0.9320,507.0006,221
1762471676.8293395,15,19189,0.9595,683.6298,219
1762471677.5440671,14,18872,0.9436,838.0837,219
1762471678.376896,14,18978,0.9489,655.5985,217
1762471679.1644511,14,19345,0.9673,711.0630,216
1762471680.8036408,16,18420,0.9210,311.7397,206
1762471681.7958696,16,18921,0.9460,627.8805,203
1762471682.8146446,16,19051,0.9526,604.6492,199
1762471683.865787,14,17759,0.8880,576.5166,194
1762471684.5473208,14,18319,0.9160,821.6783,194
1762471685.2118528,11,15950,0.7975,705.7624,194
1762471685.8571112,11,16390,0.8195,681.8993,194
1762471687.7815738,6,18957,0.9478,147.0542,192
1762471690.1010475,16,18626,0.9313,118.5614,177
1762471690.9126773,14,17065,0.8532,707.2200,175
1762471692.2483983,16,19058,0.9529,455.9341,170
1762471692.9274693,16,19698,0.9849,942.4661,170
1762471693.6148357,15,19391,0.9696,884.5385,170
1762471694.2973876,15,19991,0.9996,879.0565,170
1762471694.9744678,14,19624,0.9812,828.5598,171
1762471696.7448707,14,19111,0.9556,294.2835,160
1762471698.65854,8,18341,0.9171,214.2484,157
1762471700.197073,10,13382,0.6691,202.1409,151
1762471701.6661568,16,18703,0.9352,405.6954,140
1762471702.3331318,15,18478,0.9239,926.5741,140
1762471702.9965203,14,18181,0.9091,875.8094,140
1762471704.5294626,16,18989,0.9495,325.5183,131
1762471705.343348,16,19499,0.9749,778.9817,129
1762471706.0076034,15,19323,0.9661,951.4649,130
1762471707.0355752,13,16746,0.8373,545.7359,125
1762471708.5494597,15,18506,0.9253,370.5703,117
1762471709.3595493,15,19137,0.9568,736.9573,115
1762471710.1780872,15,19434,0.9717,722.0207,113
1762471711.47497,10,19729,0.9865,387.0826,109
1762471712.5001245,10,19648,0.9824,381.4067,109
1762471713.5564272,7,14898,0.7449,323.7712,109
1762471714.8156283,5,16501,0.8250,198.5390,107
1762471716.718126,5,16399,0.8199,94.0870,104
1762471718.3923357,4,14889,0.7444,99.7487,101
1762471725.5769076,7,18107,0.9053,26.7239,114
1762471726.1686077,7,18387,0.9194,473.2146,114
1762471726.7652059,7,18667,0.9334,469.3290,114
1762471727.3651037,7,18947,0.9474,466.7474,114
1762471727.9608202,7,19227,0.9614,470.0292,114
1762471728.5596812,7,19507,0.9754,467.5559,114
1762471730.5850453,6,16696,0.8348,124.4222,115
1762471735.5565753,8,18839,0.9419,43.0451,120
1762471736.1587138,8,19159,0.9579,531.4407,120
1762471736.7590778,8,19479,0.9739,533.0117,120
1762471737.3616524,8,19799,0.9899,531.0563,120
1762471737.9668849,7,19022,0.9511,505.5922,121
1762471738.5701385,7,19302,0.9651,464.1512,121
1762471739.580069,7,18384,0.9192,282.1979,119
1762471742.3098564,5,15911,0.7955,83.5230,122
1762471743.919293,6,16655,0.8327,139.8007,122
1762471744.6618643,7,16804,0.8402,362.2554,121
1762471745.2535467,7,17084,0.8542,473.2282,121
1762471745.8477411,7,17364,0.8682,471.2272,121
1762471746.8149648,7,17728,0.8864,279.1500,120
1762471747.415618,7,18008,0.9004,466.1605,120
1762471748.7753851,6,18703,0.9352,170.6177,119
1762471753.0109274,6,16445,0.8223,46.2751,128
1762471753.972107,7,18357,0.9179,253.8551,126
1762471754.5721655,7,18637,0.9318,466.6224,126
1762471755.173171,7,18917,0.9458,465.8874,126
1762471756.3888724,7,18327,0.9163,219.6266,125
1762471757.2792373,7,19158,0.9579,314.4782,124
1762471757.8796785,7,19438,0.9719,466.3252,124
1762471759.2646635,5,16965,0.8482,146.5721,121
1762471760.583672,6,17572,0.8786,158.4527,119
1762471761.1774871,5,17015,0.8508,404.1675,119
1762471761.770035,5,17215,0.8608,337.5265,119
1762471762.7221165,6,17887,0.8943,207.9658,118
1762471763.3155107,6,18127,0.9063,404.4540,118
1762471764.2695239,7,18839,0.9419,259.9551,117
1762471765.5988433,8,19091,0.9546,201.6071,115
1762471766.195059,8,19411,0.9706,536.7202,115
1762471766.7966464,8,19731,0.9866,531.9278,115
1762471767.4016643,7,18994,0.9497,518.9945,116
1762471768.440284,8,19837,0.9919,282.1056,114
1762471769.0447285,7,19160,0.9580,497.9791,115
1762471769.99823,7,18974,0.9487,283.1674,114
1762471771.399519,7,18181,0.9091,187.6847,111
1762471771.9931161,7,18461,0.9231,471.7017,111
1762471772.5875006,7,18741,0.9371,471.0771,111
1762471773.1845472,6,18024,0.9012,455.5769,111
1762471774.1370783,7,18733,0.9366,256.1600,110
1762471774.7305517,6,18006,0.9003,441.4700,110
1762471776.2209451,7,18444,0.9222,171.7669,108
1762471777.1814165,6,17457,0.8729,279.0303,107
1762471777.7728317,6,17697,0.8849,405.8074,107
1762471778.3585796,6,17937,0.8969,409.7337,107
1762471778.9495447,6,18177,0.9089,406.1165,107
1762471779.898821,6,17902,0.8951,242.2903,106
1762471780.487207,5,17135,0.8568,353.5111,106
1762471782.2301068,7,16839,0.8419,123.9315,103
1762471783.1343946,7,19274,0.9637,305.2131,101
1762471783.728722,7,19554,0.9777,471.1227,101
1762471784.3216374,7,19834,0.9917,472.2444,101
